Is_Sale,Source,Reference,Town,PropertyType,Latitude,Longitude,TotalRooms,TotalBedrooms,TotalBathrooms,TotalSqm,TotalIntArea,TotalExtArea,Price,Province
True,Remax,240291001-1453,Mosta,Garage (Residential),35.91184,14.41168,0.0,0.0,0.0,25.0,0.0,0.0,37000,Northern
True,Remax,240291001-1422,Mosta,Garage (Residential),35.91184,14.41168,0.0,0.0,0.0,25.0,25.0,0.0,40000,Northern
True,Remax,240291001-1437,Mosta,Garage (Residential),35.91184,14.41168,0.0,0.0,0.0,24.0,0.0,0.0,37000,Northern
True,Remax,240291001-1440,Mosta,Garage (Residential),35.91184,14.41168,0.0,0.0,0.0,16.0,16.0,0.0,32000,Northern
True,Remax,240291001-1486,Mosta,Garage (Residential),35.91184,14.41168,0.0,0.0,0.0,16.0,16.0,0.0,32000,Northern
True,Remax,240031035-386,Gozo - Victoria,Farmhouse,36.04335,14.23154,6.0,2.0,2.0,153.0,0.0,0.0,395000,Gozo
True,Remax,240331018-174,Pembroke,Villa Semi-detached,35.93062,14.47199,17.0,3.0,5.0,300.0,0.0,158.0,1390000,Northern
True,Remax,240031035-380,Gozo - Marsalforn,Apartment,36.07262,14.25921,8.0,3.0,3.0,0.0,0.0,37.0,250000,Gozo
True,Remax,240331001-120,Zabbar,Townhouse,35.87442,14.537,10.0,5.0,1.0,700.0,380.0,300.0,1500000,South Eastern
True,Remax,240331015-202,San Gwann,Villa Detached,35.90863,14.47988,11.0,3.0,3.0,300.0,289.0,183.0,1000000,Central
True,Remax,240061006-2891,Vittoriosa,Townhouse,35.88928,14.51901,11.0,3.0,4.0,0.0,145.0,5.0,905000,South Eastern
True,Remax,240461028-22,Kalkara,Apartment,35.89132,14.53029,3.0,1.0,1.0,60.0,0.0,10.0,330000,South Eastern
True,Remax,240171033-71,San Gwann,Penthouse,35.90863,14.47988,3.0,2.0,0.0,121.0,92.0,29.0,350000,Central
True,Remax,240191037-74,St Julian's,Apartment,35.91986,14.48087,3.0,1.0,1.0,83.0,77.0,6.0,217000,Central
True,Remax,240151012-1799,Senglea,Townhouse,35.88792,14.51448,7.0,3.0,1.0,0.0,115.0,15.0,540000,South Eastern
True,Remax,240191028-119,Siggiewi,Agriculture Land,35.84734,14.4136,0.0,0.0,0.0,8560.0,0.0,8402.0,1385000,Southern
True,Remax,240091086-179,Cospicua,Townhouse,35.88106,14.51644,8.0,4.0,2.0,108.0,103.0,5.0,425000,South Eastern
True,Remax,240171030-50,Qormi,Penthouse,35.87667,14.45933,8.0,3.0,2.0,164.0,125.0,39.0,350000,Southern
True,Remax,240251003-83,Sliema,Penthouse,35.91223,14.49969,4.0,2.0,2.0,170.0,0.0,80.0,1500000,Central
True,Remax,240151093-54,Luqa,Penthouse,35.85177,14.46828,7.0,3.0,2.0,163.0,129.0,26.0,535000,Southern
True,Remax,240041024-489,Hamrun,Townhouse,35.88683,14.48569,7.0,3.0,2.0,115.0,0.0,0.0,265000,Southern
True,Remax,240151012-1802,Attard,Penthouse,35.89158,14.4248,9.0,3.0,2.0,178.0,136.0,43.0,600000,Central
True,Remax,240061071-1097,Cospicua,Townhouse,35.88106,14.51644,7.0,3.0,1.0,90.0,85.0,5.0,175000,South Eastern
