PropertyType,Town,TotalBedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return
Flats,Attard,3.0,4,4,,,,,,,250000,295000,277500.0,250000,295000,277500.0,69375.0,3984.06,332.0,13875.0,13875.0,27750.0,2660015.94,221668.0,38.34
Flats,Birkirkara,2.0,4,4,,,,,,,200000,297000,242500.0,200000,297000,242500.0,60625.0,3481.56,290.13,12125.0,12125.0,24250.0,2324518.44,193709.87,38.34
Maisonette,Gozo L-Gharb,2.0,2,2,,,,,,,149000,308000,228500.0,149000,308000,228500.0,57125.0,3280.57,273.38,11425.0,11425.0,22850.0,2190319.43,182526.62,38.34
Flats,Birzebbuga,2.0,4,4,,,,,,,180000,275000,223000.0,180000,275000,223000.0,55750.0,3201.6,266.8,11150.0,11150.0,22300.0,2137598.4,178133.2,38.34
Gr Floor Maisonette,Gozo Sannat,3.0,3,3,,,,,,,138000,318000,211333.33,138000,318000,211333.33,52833.33,3034.11,252.84,10566.67,10566.67,21133.33,2025765.86,168813.82,38.34
Gr Floor Maisonette,Fgura,3.0,2,2,,,,,,,213000,243500,228250.0,213000,243500,228250.0,57062.5,3276.98,273.08,11412.5,11412.5,22825.0,2187923.02,182326.92,38.34
Flats,Birzebbuga,3.0,6,6,,,,,,,207000,287000,266166.67,207000,287000,266166.67,66541.67,3821.35,318.45,13308.33,13308.33,26616.67,2551378.69,212614.89,38.34
Flats,Fgura,2.0,3,3,,,,,,,194000,265000,221333.33,194000,265000,221333.33,55333.33,3177.68,264.81,11066.67,11066.67,22133.33,2121622.29,176801.86,38.34
Flats,Ghaxaq,2.0,2,2,,,,,,,228000,244000,236000.0,228000,244000,236000.0,59000.0,3388.24,282.35,11800.0,11800.0,23600.0,2262211.76,188517.65,38.34
Flats,Ghaxaq,3.0,2,2,,,,,,,290000,290000,290000.0,290000,290000,290000.0,72500.0,4163.52,346.96,14500.0,14500.0,29000.0,2779836.48,231653.04,38.34
Terraced House,Gozo Fontana,3.0,2,2,,,,,,,315000,315000,315000.0,315000,315000,315000.0,78750.0,4522.44,376.87,15750.0,15750.0,31500.0,3019477.56,251623.13,38.34
Flats,Gozo Ir-Rabat,3.0,2,2,,,,,,,188000,213000,200500.0,188000,213000,200500.0,50125.0,2878.57,239.88,10025.0,10025.0,20050.0,1921921.43,160160.12,38.34
Flats,Gozo Ir-Rabat,2.0,4,4,,,,,,,161000,166000,164250.0,161000,166000,164250.0,41062.5,2358.13,196.51,8212.5,8212.5,16425.0,1574441.87,131203.49,38.34
Flats,Gozo Marsalforn,2.0,5,5,,,,,,,150000,231000,188800.0,150000,231000,188800.0,47200.0,2710.6,225.88,9440.0,9440.0,18880.0,1809769.4,150814.12,38.34
Flats,Gozo L-Gharb,3.0,2,2,,,,,,,153000,338000,245500.0,153000,338000,245500.0,61375.0,3524.64,293.72,12275.0,12275.0,24550.0,2353275.36,196106.28,38.34
Flats,Gozo Ix-Xewkija,3.0,3,3,,,,,,,158000,268000,229666.67,158000,268000,229666.67,57416.67,3297.32,274.78,11483.33,11483.33,22966.67,2201502.72,183458.56,38.34
Flats,Gozo Ix-Xewkija,2.0,3,3,,,,,,,139000,248000,205000.0,139000,248000,205000.0,51250.0,2943.18,245.26,10250.0,10250.0,20500.0,1965056.82,163754.74,38.34
Flats,Qawra,2.0,7,7,,,,,,,200000,247000,229285.71,200000,247000,229285.71,57321.43,3291.85,274.32,11464.29,11464.29,22928.57,2197850.97,183154.25,38.34
Flats,Gozo In-Nadur,3.0,2,2,,,,,,,210000,255000,232500.0,210000,255000,232500.0,58125.0,3338.0,278.17,11625.0,11625.0,23250.0,2228662.0,185721.83,38.34
Flats,Gozo Il-Qala,3.0,4,4,,,,,,,195000,275000,235000.0,195000,275000,235000.0,58750.0,3373.89,281.16,11750.0,11750.0,23500.0,2252626.11,187718.84,38.34
Flats,Fgura,3.0,16,15,,,,,,,200000,370000,238375.0,200000,265000,229600.0,59593.75,3422.34,285.2,11480.0,11480.0,22960.0,2200737.66,183394.8,36.93
Flats,St Julians,2.0,14,12,,,,,,,280000,425000,315357.14,280000,316000,303333.33,78839.28,4527.57,377.3,15166.67,15166.67,30333.33,2907472.4,242289.37,36.88
Flats,Marsaxlokk,3.0,14,13,,,,,,,246000,480000,286642.86,246000,311000,271769.23,71660.72,4115.32,342.94,13588.46,13588.46,27176.92,2604869.29,217072.44,36.35
Flats,Marsascala,3.0,19,16,,,,,,,240000,530000,306921.05,240000,312500,286968.75,76730.26,4406.46,367.2,14348.44,14348.44,28696.88,2750493.54,229207.8,35.85
Flats,Mosta,3.0,17,12,,,,,,,265000,520000,321117.65,265000,325000,289333.33,80279.41,4610.28,384.19,14466.67,14466.67,28933.33,2772989.69,231082.47,34.54
Flats,Naxxar,3.0,5,3,,,,,,,276000,397000,334000.0,276000,313000,295666.67,83500.0,4795.23,399.6,14783.33,14783.33,29566.67,2833604.8,236133.73,33.94
Penthouse,Gozo Ix-Xewkija,3.0,4,3,,,,,,,170000,388000,252000.0,170000,235000,206666.67,63000.0,3617.96,301.5,10333.33,10333.33,20666.67,1980382.08,165031.84,31.43
Penthouse,Gozo L-Gharb,2.0,3,2,,,,,,,180000,398000,292666.67,180000,300000,240000.0,73166.67,4201.81,350.15,12000.0,12000.0,24000.0,2299798.19,191649.85,31.43
Flats,Balzan,3.0,6,2,,,,,,,220000,434000,344000.0,220000,335000,277500.0,86000.0,4938.8,411.57,13875.0,13875.0,27750.0,2659061.2,221588.43,30.92
Flats,Siggiewi,3.0,3,2,,,,,,,228000,485000,331000.0,228000,280000,254000.0,82750.0,4752.16,396.01,12700.0,12700.0,25400.0,2433647.84,202803.99,29.41
Flats,Gzira,2.0,15,13,,,,,,,215000,900000,328800.0,215000,325000,240923.08,82200.0,4720.57,393.38,12046.15,12046.15,24092.31,2308141.0,192345.08,28.08
Maisonette,Pieta,3.0,5,3,2.0,2.0,103.0,90.0,20.0,25.0,250000,308000,282600.0,1400,275000,175466.67,70650.0,4057.28,338.11,8773.33,8773.33,17546.67,1680422.75,140035.23,23.79
Townhouse,Zabbar,3.0,9,3,2.0,1.0,140.0,0.0,50.0,0.0,255000,450000,339833.33,750,330000,209083.33,84958.33,4878.98,406.58,10454.17,10454.17,20908.33,2002320.99,166860.08,23.57
