Type,Province,Town,Bedrooms,Stage,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Median_Price,Rent_Min_Price,Rent_Max_Price,Rent_Median_Price,Downpayment,Loan,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Monthly,Net_Rent_Year,Total_Years,CoC_Return
Penthouse,Central,Hamrun,3.0,Shell,4,4,2.0,1.5,115.5,,37.0,,225000.0,293000.0,250000.0,1250.0,1500.0,1375.0,25000.0,225000.0,1076.77,68.75,68.75,137.5,23.23,278.73,43.41,1.11
House of Character,South,Senglea,3.0,Furnished,4,3,2.0,2.0,146.0,,30.0,,420000.0,695000.0,547000.0,2500.0,4258.0,3000.0,54700.0,492300.0,2355.98,150.0,150.0,300.0,44.02,528.26,43.53,0.97
Apartment,East,Pieta,3.0,Finished,46,236,2.0,2.0,118.0,115.0,15.0,11.0,159000.0,490000.0,240000.0,750.0,3000.0,1300.0,24000.0,216000.0,1033.7,65.0,65.0,130.0,6.3,75.58,44.08,0.31
Apartment,Central,Hamrun,1.0,Shell,13,37,1.0,1.0,55.0,1.0,4.0,1.0,102000.0,154000.0,111000.0,400.0,950.0,600.0,11100.0,99900.0,478.09,30.0,30.0,60.0,1.91,22.96,44.17,0.21
Apartment,East,Gzira,1.0,Shell,17,834,1.0,1.0,49.0,40.0,6.0,4.0,165000.0,258000.0,176500.0,500.0,2500.0,950.0,17650.0,158850.0,760.2,47.5,47.5,95.0,-0.2,-2.42,44.35,-0.01
Apartment,East,Pembroke,3.0,Shell,30,23,2.0,2.0,82.0,0.0,12.0,10.0,275000.0,309500.0,297750.0,1000.0,2400.0,1600.0,29775.0,267975.0,1282.44,80.0,80.0,160.0,-2.44,-29.23,44.38,-0.1
Apartment,Central,Birkirkara,1.0,Shell,11,38,1.0,1.0,61.0,5.5,9.0,5.5,130000.0,212000.0,130500.0,400.0,1200.0,700.0,13050.0,117450.0,562.08,35.0,35.0,70.0,-2.08,-24.9,44.42,-0.19
Apartment,East,Pieta,3.0,Plan,16,236,2.0,2.0,115.0,115.0,6.0,11.0,234000.0,275000.0,242500.0,750.0,3000.0,1300.0,24250.0,218250.0,1044.47,65.0,65.0,130.0,-4.47,-53.63,44.43,-0.22
Apartment,South,Safi,2.0,Shell,10,25,2.0,2.0,,120.0,,20.0,163000.0,175000.0,169000.0,600.0,1300.0,900.0,16900.0,152100.0,727.9,45.0,45.0,90.0,-7.9,-94.78,44.56,-0.56
Apartment,Gozo,Gozo - Ghajnsielem,3.0,Shell,14,96,2.0,2.0,104.0,0.0,8.0,10.0,116000.0,185000.0,142000.0,500.0,2100.0,750.0,14200.0,127800.0,611.61,37.5,37.5,75.0,-11.61,-139.28,44.72,-0.98
Apartment,Central,Santa Venera,1.0,Shell,3,34,1.0,1.0,57.5,,4.0,,152000.0,170000.0,152000.0,575.0,1050.0,800.0,15200.0,136800.0,654.68,40.0,40.0,80.0,-14.68,-176.13,44.79,-1.16
Apartment,North,Bugibba,2.0,Plan,6,334,2.0,1.0,102.0,55.0,18.0,10.0,150000.0,185000.0,152500.0,500.0,2000.0,800.0,15250.0,137250.0,656.83,40.0,40.0,80.0,-16.83,-201.98,44.86,-1.32
Apartment,East,Gzira,2.0,Shell,33,1314,2.0,2.0,98.0,59.0,17.0,1.0,190000.0,339000.0,229000.0,550.0,3300.0,1200.0,22900.0,206100.0,986.32,60.0,60.0,120.0,-26.32,-315.88,44.88,-1.38
Apartment,South,Paola,3.0,Unclassified,6,70,2.0,2.0,91.0,,6.0,,169000.0,269000.0,191000.0,650.0,2100.0,1000.0,19100.0,171900.0,822.65,50.0,50.0,100.0,-22.65,-271.85,44.9,-1.42
Apartment,East,San Gwann,3.0,Unclassified,84,358,2.0,2.0,110.0,100.0,10.0,21.5,230000.0,405500.0,230000.0,700.0,2500.0,1200.0,23000.0,207000.0,990.63,60.0,60.0,120.0,-30.63,-367.57,44.97,-1.6
Penthouse,East,Gzira,3.0,Unclassified,3,101,2.0,2.0,,120.0,,50.0,340000.0,425000.0,345000.0,1000.0,3000.0,1800.0,34500.0,310500.0,1485.95,90.0,90.0,180.0,-45.95,-551.35,44.97,-1.6
Apartment,South,Safi,2.0,Plan,11,25,2.0,2.0,93.0,120.0,10.0,20.0,168000.0,250000.0,174000.0,600.0,1300.0,900.0,17400.0,156600.0,749.43,45.0,45.0,90.0,-29.43,-353.2,45.14,-2.03
Apartment,East,Swieqi,3.0,Shell,5,1534,2.0,2.0,135.0,120.0,15.0,13.0,260000.0,390000.0,290000.0,650.0,3500.0,1500.0,29000.0,261000.0,1249.06,75.0,75.0,150.0,-49.06,-588.67,45.14,-2.03
Apartment,East,Saint Julian's,2.0,Finished,69,2143,2.0,2.0,88.0,93.0,5.0,10.0,200000.0,575000.0,290000.0,600.0,7000.0,1500.0,29000.0,261000.0,1249.06,75.0,75.0,150.0,-49.06,-588.67,45.14,-2.03
Apartment,Central,Hamrun,4.0,Shell,4,3,2.5,2.0,77.0,,10.0,,228000.0,240000.0,234000.0,1200.0,1200.0,1200.0,23400.0,210600.0,1007.86,60.0,60.0,120.0,-47.86,-574.31,45.31,-2.45
Penthouse,West,Siggiewi,1.0,Plan,5,7,1.0,1.0,32.5,20.0,13.5,30.0,225000.0,478400.0,235000.0,580.0,1200.0,1200.0,23500.0,211500.0,1012.17,60.0,60.0,120.0,-52.17,-625.99,45.4,-2.66
Penthouse,East,Pieta,3.0,Finished,4,11,2.0,2.0,,1.0,,1.0,210000.0,690000.0,294000.0,1000.0,1700.0,1500.0,29400.0,264600.0,1266.28,75.0,75.0,150.0,-66.28,-795.41,45.42,-2.71
Apartment,East,Pieta,3.0,Shell,17,236,2.0,2.0,116.0,115.0,14.0,11.0,203500.0,275000.0,255000.0,750.0,3000.0,1300.0,25500.0,229500.0,1098.31,65.0,65.0,130.0,-58.31,-699.7,45.43,-2.74
Townhouse,South,Kalkara,3.0,Furnished,3,5,3.0,2.5,260.0,,45.0,,395000.0,680000.0,395000.0,1000.0,7000.0,2000.0,39500.0,355500.0,1701.3,100.0,100.0,200.0,-101.3,-1215.61,45.57,-3.08
Apartment,East,Saint Julian's,1.0,Shell,14,793,1.0,1.0,52.0,55.0,3.0,4.5,210000.0,385000.0,218000.0,450.0,4500.0,1100.0,21800.0,196200.0,938.95,55.0,55.0,110.0,-58.95,-707.35,45.64,-3.24
Penthouse Duplex,East,Gzira,3.0,Unclassified,4,7,2.5,2.0,136.5,100.0,39.5,100.0,310000.0,425000.0,367500.0,1400.0,2000.0,1850.0,36750.0,330750.0,1582.86,92.5,92.5,185.0,-102.86,-1234.27,45.69,-3.36
Apartment,Gozo,Gozo - Xaghra,2.0,Shell,13,34,2.0,2.0,94.5,0.0,2.0,7.5,124000.0,187000.0,140000.0,420.0,1000.0,700.0,14000.0,126000.0,602.99,35.0,35.0,70.0,-42.99,-515.91,45.83,-3.69
Penthouse,East,Pieta,2.0,Shell,3,59,2.0,2.0,107.0,85.0,28.0,1.0,234000.0,315000.0,260000.0,800.0,3250.0,1300.0,26000.0,234000.0,1119.84,65.0,65.0,130.0,-79.84,-958.12,45.83,-3.69
Apartment,East,Kappara,1.0,Finished,6,34,1.0,1.0,50.0,,7.0,,170000.0,196000.0,175000.0,600.0,1600.0,875.0,17500.0,157500.0,753.74,43.75,43.75,87.5,-53.74,-644.89,45.83,-3.69
Apartment,East,Saint Julian's,2.0,Unclassified,27,2143,2.0,2.0,88.6,93.0,3.65,10.0,240000.0,590000.0,300000.0,600.0,7000.0,1500.0,30000.0,270000.0,1292.13,75.0,75.0,150.0,-92.13,-1105.53,45.83,-3.69
