Type,Province,Town,Bedrooms,Stage,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Median_Price,Rent_Min_Price,Rent_Max_Price,Rent_Median_Price,Downpayment,Loan,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Monthly,Net_Rent_Year,Total_Years,CoC_Return
Apartment,Central,Qormi,2.0,Shell,7,49,2.0,2.0,0.0,40.5,17.0,5.5,181000.0,207000.0,197000.0,600.0,1750.0,800.0,19700.0,177300.0,848.5,40.0,40.0,80.0,-208.5,-2501.96,50.65,-12.7
Apartment,Central,Balzan,2.0,Plan,24,43,3.0,2.0,97.0,100.0,15.0,17.0,195000.0,385000.0,222500.0,600.0,2500.0,900.0,22250.0,200250.0,958.33,45.0,45.0,90.0,-238.33,-2859.93,50.75,-12.85
Apartment,South,Kalkara,2.0,Shell,8,58,1.0,2.0,82.0,85.0,11.0,5.0,195000.0,240000.0,222500.0,750.0,2300.0,900.0,22250.0,200250.0,958.33,45.0,45.0,90.0,-238.33,-2859.93,50.75,-12.85
Apartment,Central,Mosta,2.0,Shell,7,210,2.0,2.0,105.5,40.5,10.5,1.0,220000.0,319000.0,235000.0,500.0,1700.0,950.0,23500.0,211500.0,1012.17,47.5,47.5,95.0,-252.17,-3025.99,50.77,-12.88
Apartment,South,Marsaxlokk,2.0,Unclassified,28,46,2.0,1.0,86.0,1.0,8.0,1.0,156000.0,285000.0,198000.0,600.0,2100.0,800.0,19800.0,178200.0,852.8,40.0,40.0,80.0,-212.8,-2553.65,50.78,-12.9
Penthouse,East,Msida,2.0,Furnished,4,237,1.0,2.0,45.0,74.0,25.5,20.0,280000.0,299000.0,297000.0,650.0,2880.0,1200.0,29700.0,267300.0,1279.21,60.0,60.0,120.0,-319.21,-3830.47,50.78,-12.9
Apartment,Central,Hamrun,3.0,Plan,3,34,2.0,2.0,115.0,130.0,12.0,5.0,197000.0,229000.0,223000.0,600.0,1350.0,900.0,22300.0,200700.0,960.48,45.0,45.0,90.0,-240.48,-2885.77,50.81,-12.94
Maisonette,Central,Attard,3.0,Plan,8,84,2.5,2.0,110.0,130.0,27.5,30.0,273000.0,425000.0,297500.0,750.0,1800.0,1200.0,29750.0,267750.0,1281.36,60.0,60.0,120.0,-321.36,-3856.31,50.82,-12.96
Apartment,South,Zejtun,2.0,Finished,10,48,2.0,2.0,83.0,90.0,11.0,4.0,180000.0,265000.0,186000.0,500.0,1000.0,750.0,18600.0,167400.0,801.12,37.5,37.5,75.0,-201.12,-2413.43,50.83,-12.98
Maisonette,East,Swieqi,3.0,Finished,15,435,2.0,2.0,135.0,120.0,24.5,20.0,340000.0,410000.0,372000.0,750.0,3960.0,1500.0,37200.0,334800.0,1602.24,75.0,75.0,150.0,-402.24,-4826.85,50.83,-12.98
Apartment,South,Paola,2.0,Finished,12,43,2.0,1.0,73.0,,19.0,,133000.0,202000.0,186250.0,600.0,1350.0,750.0,18625.0,167625.0,802.2,37.5,37.5,75.0,-202.2,-2426.35,50.87,-13.03
Penthouse,Central,Qormi,3.0,Unclassified,5,17,2.0,2.0,121.5,110.0,30.5,10.0,285000.0,447000.0,298000.0,800.0,1750.0,1200.0,29800.0,268200.0,1283.51,60.0,60.0,120.0,-323.51,-3882.16,50.87,-13.03
Penthouse,West,Rabat,3.0,Unclassified,11,4,2.0,2.0,113.0,,32.0,,375000.0,691000.0,385000.0,1300.0,1600.0,1550.0,38500.0,346500.0,1658.23,77.5,77.5,155.0,-418.23,-5018.76,50.87,-13.04
Apartment,East,Gzira,3.0,Furnished,22,726,2.0,2.0,106.0,110.0,9.5,10.0,278000.0,450000.0,323500.0,700.0,7000.0,1300.0,32350.0,291150.0,1393.34,65.0,65.0,130.0,-353.34,-4240.12,50.92,-13.11
Penthouse,Central,Mosta,2.0,Shell,5,108,1.0,2.0,84.0,130.0,29.5,51.0,270000.0,350000.0,280000.0,750.0,2200.0,1125.0,28000.0,252000.0,1205.99,56.25,56.25,112.5,-305.99,-3671.82,50.93,-13.11
Penthouse,Central,Balzan,2.0,Plan,10,34,2.0,2.0,95.0,86.0,36.0,20.0,250000.0,416000.0,336000.0,950.0,1800.0,1350.0,33600.0,302400.0,1447.18,67.5,67.5,135.0,-367.18,-4406.19,50.93,-13.11
Penthouse,Central,Santa Venera,2.0,Unclassified,6,26,1.5,2.0,57.5,,30.5,,181000.0,372000.0,249500.0,750.0,1200.0,1000.0,24950.0,224550.0,1074.62,50.0,50.0,100.0,-274.62,-3295.43,50.99,-13.21
Maisonette,North,Xemxija,3.0,Finished,8,26,2.0,2.0,139.5,140.0,50.0,1.0,250000.0,350000.0,299500.0,750.0,1700.0,1200.0,29950.0,269550.0,1289.97,60.0,60.0,120.0,-329.97,-3959.68,51.0,-13.22
Maisonette,East,Gzira,2.0,Unclassified,9,85,2.0,1.0,87.55,77.5,36.6,15.0,249000.0,400000.0,275000.0,650.0,2100.0,1100.0,27500.0,247500.0,1184.45,55.0,55.0,110.0,-304.45,-3653.4,51.04,-13.29
Apartment,South,Fgura,1.0,Finished,13,17,1.0,1.0,52.5,,12.5,,149000.0,175000.0,150000.0,400.0,900.0,600.0,15000.0,135000.0,646.06,30.0,30.0,60.0,-166.06,-1992.76,51.04,-13.29
Apartment,South,Tarxien,3.0,Plan,22,49,2.0,2.0,106.0,1.0,13.0,1.0,220000.0,277000.0,225000.0,650.0,2000.0,900.0,22500.0,202500.0,969.1,45.0,45.0,90.0,-249.1,-2989.14,51.04,-13.29
Apartment,South,Ghaxaq,3.0,Unclassified,3,45,2.0,2.0,115.0,124.0,7.0,17.0,225000.0,265000.0,225000.0,600.0,1200.0,900.0,22500.0,202500.0,969.1,45.0,45.0,90.0,-249.1,-2989.14,51.04,-13.29
Apartment,East,San Gwann,2.0,Unclassified,23,462,2.0,2.0,83.0,1.0,10.0,11.0,210000.0,315000.0,250000.0,700.0,2200.0,1000.0,25000.0,225000.0,1076.77,50.0,50.0,100.0,-276.77,-3321.27,51.04,-13.29
Penthouse,East,Gzira,2.0,Finished,17,271,2.0,2.0,85.0,90.0,22.5,25.0,260000.0,450000.0,325000.0,750.0,2300.0,1300.0,32500.0,292500.0,1399.8,65.0,65.0,130.0,-359.8,-4317.65,51.04,-13.29
Penthouse,East,San Gwann,3.0,Finished,16,45,2.0,2.0,109.0,117.5,26.0,35.0,320000.0,750000.0,375000.0,750.0,4000.0,1500.0,37500.0,337500.0,1615.16,75.0,75.0,150.0,-415.16,-4981.91,51.04,-13.29
Apartment,East,San Gwann,2.0,Finished,55,462,2.0,2.0,85.0,1.0,10.0,11.0,180000.0,350000.0,250000.0,700.0,2200.0,1000.0,25000.0,225000.0,1076.77,50.0,50.0,100.0,-276.77,-3321.27,51.04,-13.29
Maisonette,East,Pieta,3.0,Unclassified,3,5,2.0,1.5,120.5,90.0,14.0,25.0,295000.0,308000.0,300000.0,900.0,1400.0,1200.0,30000.0,270000.0,1292.13,60.0,60.0,120.0,-332.13,-3985.53,51.04,-13.29
Penthouse Duplex,East,Gzira,2.0,Plan,3,17,2.0,2.0,,88.5,,17.5,330000.0,370000.0,350000.0,1000.0,2700.0,1400.0,35000.0,315000.0,1507.48,70.0,70.0,140.0,-387.48,-4649.78,51.04,-13.29
Apartment,East,San Gwann,2.0,Plan,51,462,2.0,2.0,82.0,1.0,12.5,11.0,189000.0,388000.0,250000.0,700.0,2200.0,1000.0,25000.0,225000.0,1076.77,50.0,50.0,100.0,-276.77,-3321.27,51.04,-13.29
Penthouse Duplex,East,Gzira,2.0,Finished,3,17,2.0,2.0,95.0,88.5,41.0,17.5,330000.0,350000.0,350000.0,1000.0,2700.0,1400.0,35000.0,315000.0,1507.48,70.0,70.0,140.0,-387.48,-4649.78,51.04,-13.29
Maisonette,East,Msida,2.0,Finished,11,53,2.0,2.0,88.0,54.0,13.0,1.0,225000.0,270000.0,250000.0,700.0,1300.0,1000.0,25000.0,225000.0,1076.77,50.0,50.0,100.0,-276.77,-3321.27,51.04,-13.29
Apartment,Central,Santa Venera,3.0,Finished,27,111,2.0,2.0,123.0,120.0,11.0,1.0,179000.0,372000.0,250000.0,600.0,2000.0,1000.0,25000.0,225000.0,1076.77,50.0,50.0,100.0,-276.77,-3321.27,51.04,-13.29
Apartment,North,Saint Paul's Bay,3.0,Plan,116,641,2.0,2.0,109.0,92.5,13.0,10.0,218000.0,595000.0,250000.0,500.0,4000.0,1000.0,25000.0,225000.0,1076.77,50.0,50.0,100.0,-276.77,-3321.27,51.04,-13.29
Apartment,Central,Naxxar,3.0,Shell,22,337,2.0,2.0,110.0,110.0,11.0,5.0,250000.0,480000.0,275000.0,650.0,2800.0,1100.0,27500.0,247500.0,1184.45,55.0,55.0,110.0,-304.45,-3653.4,51.04,-13.29
Penthouse,Central,Birkirkara,2.0,Shell,11,56,2.0,2.0,70.0,40.5,35.0,1.0,210000.0,530000.0,250000.0,750.0,1400.0,1000.0,25000.0,225000.0,1076.77,50.0,50.0,100.0,-276.77,-3321.27,51.04,-13.29
Penthouse,East,Gzira,2.0,Unclassified,3,271,2.0,2.0,83.4,90.0,12.9,25.0,249000.0,370000.0,325000.0,750.0,2300.0,1300.0,32500.0,292500.0,1399.8,65.0,65.0,130.0,-359.8,-4317.65,51.04,-13.29
Apartment,Central,Hamrun,3.0,Unclassified,14,34,2.0,2.0,106.0,130.0,5.9,5.0,183000.0,275000.0,225000.0,600.0,1350.0,900.0,22500.0,202500.0,969.1,45.0,45.0,90.0,-249.1,-2989.14,51.04,-13.29
Apartment,East,Saint Julian's,1.0,Finished,42,793,1.0,1.0,55.0,55.0,5.0,4.5,180000.0,595000.0,275000.0,450.0,4500.0,1100.0,27500.0,247500.0,1184.45,55.0,55.0,110.0,-304.45,-3653.4,51.04,-13.29
Penthouse,South,Paola,2.0,Finished,5,7,2.0,1.0,71.0,1.0,31.0,1.0,165000.0,281000.0,200000.0,650.0,1500.0,800.0,20000.0,180000.0,861.42,40.0,40.0,80.0,-221.42,-2657.02,51.04,-13.29
Apartment,East,Ta' Xbiex,2.0,Plan,9,139,2.0,2.0,90.0,60.0,16.0,10.0,210000.0,300000.0,300000.0,1.0,4700.0,1200.0,30000.0,270000.0,1292.13,60.0,60.0,120.0,-332.13,-3985.53,51.04,-13.29
Maisonette,Central,Balzan,3.0,Plan,4,35,2.0,2.0,84.5,1.0,31.0,40.5,360000.0,410000.0,376500.0,850.0,2200.0,1500.0,37650.0,338850.0,1621.62,75.0,75.0,150.0,-421.62,-5059.43,51.15,-13.44
Penthouse,Gozo,Gozo - Xaghra,2.0,Shell,4,21,2.0,2.0,57.0,0.0,17.0,15.0,170000.0,246000.0,201250.0,600.0,2100.0,800.0,20125.0,181125.0,866.8,40.0,40.0,80.0,-226.8,-2721.62,51.2,-13.52
Maisonette,East,Swieqi,3.0,Unclassified,4,435,2.0,2.0,115.0,120.0,28.0,20.0,365000.0,390000.0,377500.0,750.0,3960.0,1500.0,37750.0,339750.0,1625.93,75.0,75.0,150.0,-425.93,-5111.12,51.22,-13.54
Apartment,East,Sliema,2.0,Shell,3,3561,2.0,2.0,,85.0,,10.0,308000.0,526000.0,340000.0,575.0,7000.0,1350.0,34000.0,306000.0,1464.41,67.5,67.5,135.0,-384.41,-4612.93,51.23,-13.57
Apartment,East,Swieqi,2.0,Unclassified,16,775,2.0,2.0,100.0,80.0,5.0,10.0,290000.0,530000.0,327500.0,650.0,2900.0,1300.0,32750.0,294750.0,1410.57,65.0,65.0,130.0,-370.57,-4446.86,51.24,-13.58
Apartment,Central,Birkirkara,4.0,Finished,7,21,2.0,2.0,,149.0,,7.5,212000.0,425000.0,315000.0,900.0,1800.0,1250.0,31500.0,283500.0,1356.73,62.5,62.5,125.0,-356.73,-4280.8,51.25,-13.59
Apartment,South,Marsaskala,2.0,Shell,15,675,2.0,1.0,95.0,1.0,3.0,5.0,192000.0,325000.0,202000.0,480.0,2100.0,800.0,20200.0,181800.0,870.03,40.0,40.0,80.0,-230.03,-2760.39,51.3,-13.67
Apartment,West,Rabat,2.0,Unclassified,5,67,2.0,2.0,108.0,50.0,9.0,9.0,230000.0,385000.0,240000.0,590.0,1500.0,950.0,24000.0,216000.0,1033.7,47.5,47.5,95.0,-273.7,-3284.42,51.32,-13.69
Penthouse,East,Saint Julian's,2.0,Unclassified,4,270,2.5,2.0,106.75,90.0,62.0,30.0,350000.0,600000.0,455000.0,850.0,6000.0,1800.0,45500.0,409500.0,1959.73,90.0,90.0,180.0,-519.73,-6236.71,51.33,-13.71
Apartment,North,Saint Paul's Bay,2.0,Plan,105,549,2.0,2.0,82.0,62.5,10.5,5.0,160000.0,595000.0,215000.0,500.0,3000.0,850.0,21500.0,193500.0,926.02,42.5,42.5,85.0,-246.02,-2952.29,51.35,-13.73
Apartment,South,Mqabba,3.0,Plan,10,20,2.0,2.0,118.0,130.0,10.0,10.0,190000.0,295000.0,215000.0,650.0,1500.0,850.0,21500.0,193500.0,926.02,42.5,42.5,85.0,-246.02,-2952.29,51.35,-13.73
Apartment,North,Mellieha,1.0,Finished,4,84,1.5,1.0,68.0,45.0,14.0,10.0,215000.0,218000.0,215000.0,400.0,2100.0,850.0,21500.0,193500.0,926.02,42.5,42.5,85.0,-246.02,-2952.29,51.35,-13.73
Penthouse,East,Gzira,2.0,Shell,9,271,2.0,2.0,95.5,90.0,29.0,25.0,281500.0,398000.0,329000.0,750.0,2300.0,1300.0,32900.0,296100.0,1417.03,65.0,65.0,130.0,-377.03,-4524.39,51.36,-13.75
Apartment,Gozo,Gozo - Nadur,3.0,Shell,15,86,2.0,2.0,128.0,0.0,17.0,10.0,144000.0,291000.0,190000.0,450.0,2100.0,750.0,19000.0,171000.0,818.35,37.5,37.5,75.0,-218.35,-2620.17,51.39,-13.79
Apartment,South,Zejtun,2.0,Plan,8,48,2.0,2.0,85.0,90.0,8.5,4.0,148000.0,250000.0,190000.0,500.0,1000.0,750.0,19000.0,171000.0,818.35,37.5,37.5,75.0,-218.35,-2620.17,51.39,-13.79
Penthouse,Central,Naxxar,3.0,Finished,14,66,2.0,2.0,129.0,145.0,40.0,25.0,360000.0,650000.0,380000.0,800.0,3900.0,1500.0,38000.0,342000.0,1636.69,75.0,75.0,150.0,-436.69,-5240.33,51.39,-13.79
Apartment,East,Swieqi,3.0,Plan,25,1534,2.0,2.0,124.0,120.0,16.0,13.0,300000.0,550000.0,380000.0,650.0,3500.0,1500.0,38000.0,342000.0,1636.69,75.0,75.0,150.0,-436.69,-5240.33,51.39,-13.79
Maisonette,East,Swieqi,2.0,Furnished,3,214,2.0,2.0,,1.0,,1.0,290000.0,340000.0,329500.0,700.0,2800.0,1300.0,32950.0,296550.0,1419.19,65.0,65.0,130.0,-379.19,-4550.24,51.4,-13.81
Apartment,East,Kappara,2.0,Finished,17,125,2.0,2.0,100.5,0.5,22.0,5.5,238500.0,385000.0,291500.0,800.0,1750.0,1150.0,29150.0,262350.0,1255.52,57.5,57.5,115.0,-335.52,-4026.2,51.4,-13.81
Apartment,North,Mellieha,3.0,Finished,124,491,2.0,2.0,118.0,122.5,16.0,18.5,213000.0,585000.0,295000.0,600.0,3800.0,1164.0,29500.0,265500.0,1270.59,58.2,58.2,116.4,-339.39,-4072.7,51.4,-13.81
Apartment,Gozo,Gozo - Xaghra,3.0,Plan,16,75,2.0,2.0,124.0,0.0,15.5,20.0,143000.0,210000.0,177500.0,500.0,2100.0,700.0,17750.0,159750.0,764.51,35.0,35.0,70.0,-204.51,-2454.1,51.41,-13.83
Apartment,Gozo,Gozo - Victoria,2.0,Shell,4,66,2.0,1.0,0.0,0.0,19.0,5.0,161000.0,166000.0,165000.0,400.0,2100.0,650.0,16500.0,148500.0,710.67,32.5,32.5,65.0,-190.67,-2288.04,51.44,-13.87
House of Character,Gozo,Gozo - Xaghra,3.0,Shell,3,23,3.0,3.0,100.0,122.0,105.0,,298000.0,690000.0,330000.0,600.0,4500.0,1300.0,33000.0,297000.0,1421.34,65.0,65.0,130.0,-381.34,-4576.08,51.44,-13.87
Apartment,Central,Qormi,1.0,Plan,11,7,1.0,1.0,63.0,1.0,6.0,1.0,140000.0,239000.0,165000.0,500.0,800.0,650.0,16500.0,148500.0,710.67,32.5,32.5,65.0,-190.67,-2288.04,51.44,-13.87
Penthouse,East,Gzira,2.0,Plan,7,271,2.0,2.0,85.0,90.0,35.0,25.0,280000.0,466000.0,330000.0,750.0,2300.0,1300.0,33000.0,297000.0,1421.34,65.0,65.0,130.0,-381.34,-4576.08,51.44,-13.87
Apartment,Central,Hamrun,1.0,Finished,20,37,1.0,1.0,62.0,1.0,6.0,1.0,127000.0,202000.0,152500.0,400.0,950.0,600.0,15250.0,137250.0,656.83,30.0,30.0,60.0,-176.83,-2121.98,51.48,-13.91
Maisonette,East,Swieqi,3.0,Furnished,12,435,2.0,2.0,110.5,120.0,24.5,20.0,340000.0,425000.0,381500.0,750.0,3960.0,1500.0,38150.0,343350.0,1643.15,75.0,75.0,150.0,-443.15,-5317.86,51.49,-13.94
Apartment,North,Burmarrad,3.0,Shell,27,16,2.0,2.0,121.0,,12.0,,270000.0,381000.0,280000.0,800.0,1300.0,1100.0,28000.0,252000.0,1205.99,55.0,55.0,110.0,-325.99,-3911.82,51.52,-13.97
Apartment,South,Qrendi,2.0,Shell,20,9,2.0,1.0,87.0,,12.0,,166000.0,276000.0,191000.0,650.0,1100.0,750.0,19100.0,171900.0,822.65,37.5,37.5,75.0,-222.65,-2671.85,51.53,-13.99
Apartment,South,Paola,2.0,Plan,7,43,2.0,1.0,80.0,,10.0,,150000.0,191000.0,191000.0,600.0,1350.0,750.0,19100.0,171900.0,822.65,37.5,37.5,75.0,-222.65,-2671.85,51.53,-13.99
Apartment,East,Bahar Ic-Caghaq,3.0,Plan,3,164,2.0,2.0,119.0,145.0,10.0,15.0,382000.0,382000.0,382000.0,750.0,2500.0,1500.0,38200.0,343800.0,1645.31,75.0,75.0,150.0,-445.31,-5343.7,51.53,-13.99
Penthouse,South,Kalkara,2.0,Plan,4,12,2.0,1.5,85.0,1.0,17.0,8.0,293000.0,293000.0,293000.0,800.0,1500.0,1150.0,29300.0,263700.0,1261.98,57.5,57.5,115.0,-341.98,-4103.73,51.54,-14.01
House of Character,Central,Qormi,3.0,Finished,8,8,2.0,3.0,192.0,110.0,28.0,45.0,365000.0,997000.0,446000.0,1400.0,2250.0,1750.0,44600.0,401400.0,1920.96,87.5,87.5,175.0,-520.96,-6251.55,51.55,-14.02
Townhouse,South,Marsa,3.0,Unclassified,8,4,2.0,2.0,143.0,,17.5,,213000.0,360000.0,274000.0,350.0,1500.0,1075.0,27400.0,246600.0,1180.14,53.75,53.75,107.5,-320.14,-3841.71,51.55,-14.02
Apartment,Central,Naxxar,2.0,Unclassified,9,273,2.0,2.0,98.0,70.0,7.5,8.0,220000.0,280000.0,255000.0,530.0,2400.0,1000.0,25500.0,229500.0,1098.31,50.0,50.0,100.0,-298.31,-3579.7,51.56,-14.04
Apartment,East,Pieta,2.0,Furnished,8,208,2.0,2.0,91.0,1.0,7.0,1.0,225000.0,450000.0,242250.0,700.0,2100.0,950.0,24225.0,218025.0,1043.39,47.5,47.5,95.0,-283.39,-3400.71,51.56,-14.04
Penthouse,Central,Santa Venera,2.0,Finished,10,26,2.0,2.0,84.0,,21.5,,180000.0,400000.0,255000.0,750.0,1200.0,1000.0,25500.0,229500.0,1098.31,50.0,50.0,100.0,-298.31,-3579.7,51.56,-14.04
Apartment,South,Gudja,3.0,Finished,12,26,2.0,2.0,126.0,65.5,19.0,4.0,225000.0,308000.0,255000.0,700.0,1500.0,1000.0,25500.0,229500.0,1098.31,50.0,50.0,100.0,-298.31,-3579.7,51.56,-14.04
Apartment,North,Mellieha,3.0,Unclassified,29,491,2.0,2.0,110.0,122.5,15.0,18.5,245000.0,580000.0,297000.0,600.0,3800.0,1164.0,29700.0,267300.0,1279.21,58.2,58.2,116.4,-348.01,-4176.07,51.58,-14.06
Penthouse,Central,Santa Venera,2.0,Plan,4,26,1.5,2.0,90.0,,25.0,,215000.0,300000.0,255500.0,750.0,1200.0,1000.0,25550.0,229950.0,1100.46,50.0,50.0,100.0,-300.46,-3605.54,51.61,-14.11
Apartment,South,Tarxien,3.0,Unclassified,5,49,2.0,2.0,,1.0,,1.0,225000.0,276000.0,230000.0,650.0,2000.0,900.0,23000.0,207000.0,990.63,45.0,45.0,90.0,-270.63,-3247.57,51.62,-14.12
Penthouse,East,Msida,1.0,Shell,5,145,2.0,1.0,58.0,1.0,27.0,1.0,195000.0,265750.0,230000.0,600.0,2100.0,900.0,23000.0,207000.0,990.63,45.0,45.0,90.0,-270.63,-3247.57,51.62,-14.12
Apartment,East,Swieqi,2.0,Shell,4,775,2.0,2.0,101.5,80.0,6.5,10.0,315000.0,420000.0,332500.0,650.0,2900.0,1300.0,33250.0,299250.0,1432.11,65.0,65.0,130.0,-392.11,-4705.29,51.64,-14.15
House of Character,Central,Naxxar,3.0,Furnished,6,30,3.0,2.0,,180.0,,93.5,380000.0,635000.0,537500.0,900.0,2800.0,2100.0,53750.0,483750.0,2315.06,105.0,105.0,210.0,-635.06,-7620.73,51.66,-14.18
Apartment,East,Valletta,2.0,Furnished,6,187,2.0,2.0,140.0,90.0,,4.0,329000.0,600000.0,410000.0,650.0,6000.0,1600.0,41000.0,369000.0,1765.91,80.0,80.0,160.0,-485.91,-5830.88,51.69,-14.22
Apartment,Central,Mosta,2.0,Plan,89,210,2.0,2.0,88.0,40.5,10.0,1.0,179000.0,315000.0,243500.0,500.0,1700.0,950.0,24350.0,219150.0,1048.78,47.5,47.5,95.0,-288.78,-3465.32,51.7,-14.23
Apartment,Central,Qormi,3.0,Finished,89,74,2.0,2.0,120.0,120.0,14.0,10.0,160000.0,355000.0,250000.0,750.0,2100.0,975.0,25000.0,225000.0,1076.77,48.75,48.75,97.5,-296.77,-3561.27,51.71,-14.25
Apartment,Central,Qormi,3.0,Plan,45,74,2.0,2.0,120.0,120.0,17.0,10.0,205000.0,345000.0,250000.0,750.0,2100.0,975.0,25000.0,225000.0,1076.77,48.75,48.75,97.5,-296.77,-3561.27,51.71,-14.25
Penthouse,Central,Iklin,2.0,Finished,4,14,2.0,2.0,47.0,,44.0,,255000.0,300000.0,295000.0,700.0,1350.0,1150.0,29500.0,265500.0,1270.59,57.5,57.5,115.0,-350.59,-4207.1,51.72,-14.26
Apartment,East,Swieqi,3.0,Finished,81,1534,2.0,2.0,117.0,120.0,15.0,13.0,298000.0,560000.0,385000.0,650.0,3500.0,1500.0,38500.0,346500.0,1658.23,75.0,75.0,150.0,-458.23,-5498.76,51.74,-14.28
Apartment,West,Mtarfa,3.0,Furnished,5,9,1.0,2.0,116.0,,10.0,,270000.0,356000.0,308000.0,750.0,1500.0,1200.0,30800.0,277200.0,1326.58,60.0,60.0,120.0,-366.58,-4399.01,51.74,-14.28
Apartment,Central,Mosta,1.0,Finished,8,22,1.0,1.0,,1.0,,1.0,135000.0,249000.0,192500.0,500.0,850.0,750.0,19250.0,173250.0,829.11,37.5,37.5,75.0,-229.11,-2749.38,51.74,-14.28
Apartment,East,Sliema,3.0,Unclassified,48,4558,2.0,2.0,128.5,145.0,10.0,15.0,350000.0,580000.0,475000.0,440.0,7000.0,1850.0,47500.0,427500.0,2045.87,92.5,92.5,185.0,-565.87,-6790.41,51.75,-14.3
Penthouse,Central,Swatar,2.0,Plan,4,77,2.0,2.0,,115.0,,20.0,266000.0,309000.0,282500.0,700.0,1500.0,1100.0,28250.0,254250.0,1216.75,55.0,55.0,110.0,-336.75,-4041.04,51.75,-14.3
House of Character,Central,Birkirkara,2.0,Furnished,6,5,1.0,1.0,110.0,,25.0,,265000.0,530000.0,308500.0,850.0,1400.0,1200.0,30850.0,277650.0,1328.74,60.0,60.0,120.0,-368.74,-4424.85,51.78,-14.34
Townhouse,Central,Hamrun,3.0,Furnished,13,4,2.0,2.5,150.0,,26.0,,256000.0,526000.0,360000.0,1000.0,2300.0,1400.0,36000.0,324000.0,1550.55,70.0,70.0,140.0,-430.55,-5166.63,51.79,-14.35
Townhouse,East,Valletta,3.0,Furnished,5,11,2.0,3.0,155.0,1.0,23.5,1.0,685000.0,1080000.0,900000.0,850.0,7500.0,3500.0,90000.0,810000.0,3876.38,175.0,175.0,350.0,-1076.38,-12916.58,51.79,-14.35
Apartment,Gozo,Gozo - Xewkija,3.0,Unclassified,23,34,2.0,2.0,126.0,0.0,13.5,0.0,145000.0,278000.0,193000.0,450.0,1200.0,750.0,19300.0,173700.0,831.27,37.5,37.5,75.0,-231.27,-2775.22,51.81,-14.38
Apartment,East,Gzira,2.0,Furnished,28,1314,2.0,2.0,80.0,59.0,5.0,1.0,202000.0,480000.0,309000.0,550.0,3300.0,1200.0,30900.0,278100.0,1330.89,60.0,60.0,120.0,-370.89,-4450.69,51.82,-14.4
Apartment,Central,Hamrun,3.0,Finished,20,34,2.0,2.0,100.0,130.0,15.0,5.0,170000.0,281000.0,232000.0,600.0,1350.0,900.0,23200.0,208800.0,999.24,45.0,45.0,90.0,-279.24,-3350.94,51.85,-14.44
Apartment,Central,Mosta,2.0,Unclassified,25,210,2.0,2.0,93.0,40.5,10.0,1.0,215000.0,330000.0,245000.0,500.0,1700.0,950.0,24500.0,220500.0,1055.24,47.5,47.5,95.0,-295.24,-3542.85,51.86,-14.46
Apartment,Central,Iklin,2.0,Plan,24,36,2.0,2.0,90.0,100.0,10.0,1.0,240000.0,308000.0,245000.0,600.0,1300.0,950.0,24500.0,220500.0,1055.24,47.5,47.5,95.0,-295.24,-3542.85,51.86,-14.46
Penthouse,West,Rabat,3.0,Plan,12,4,2.0,2.0,146.5,,112.5,,375000.0,690000.0,400000.0,1300.0,1600.0,1550.0,40000.0,360000.0,1722.84,77.5,77.5,155.0,-482.84,-5794.03,51.88,-14.49
Maisonette,Central,Naxxar,3.0,Unclassified,6,108,2.0,2.0,107.5,140.0,15.0,25.0,280000.0,425000.0,310000.0,500.0,3000.0,1200.0,31000.0,279000.0,1335.2,60.0,60.0,120.0,-375.2,-4502.38,51.91,-14.52
Maisonette,Central,Naxxar,3.0,Finished,7,108,2.0,2.0,140.0,140.0,40.0,25.0,298000.0,425000.0,310000.0,500.0,3000.0,1200.0,31000.0,279000.0,1335.2,60.0,60.0,120.0,-375.2,-4502.38,51.91,-14.52
Apartment,West,Zebbug,2.0,Finished,15,80,2.0,2.0,80.0,1.0,8.0,1.0,209000.0,350000.0,219900.0,575.0,1300.0,850.0,21990.0,197910.0,947.13,42.5,42.5,85.0,-267.13,-3205.55,51.95,-14.58
Apartment,South,Zurrieq,2.0,Plan,9,54,2.0,1.0,43.0,90.0,14.5,8.0,200000.0,260000.0,207000.0,450.0,6000.0,800.0,20700.0,186300.0,891.57,40.0,40.0,80.0,-251.57,-3018.81,51.95,-14.58
Apartment,North,Saint Paul's Bay,2.0,Furnished,37,549,2.0,2.0,76.0,62.5,12.0,5.0,130000.0,495000.0,220000.0,500.0,3000.0,850.0,22000.0,198000.0,947.56,42.5,42.5,85.0,-267.56,-3210.72,51.96,-14.59
Apartment,North,Saint Paul's Bay,2.0,Unclassified,36,549,2.0,2.0,87.0,62.5,10.0,5.0,145000.0,385000.0,220000.0,500.0,3000.0,850.0,22000.0,198000.0,947.56,42.5,42.5,85.0,-267.56,-3210.72,51.96,-14.59
Penthouse,South,Fgura,2.0,Unclassified,4,15,2.0,1.0,40.5,,51.0,,210000.0,325000.0,220000.0,650.0,1100.0,850.0,22000.0,198000.0,947.56,42.5,42.5,85.0,-267.56,-3210.72,51.96,-14.59
