Type,Province,Town,Bedrooms,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Villa,East,Swieqi,6.0,5,4.0,0.0,0.0,4600.0,7000.0,5500.0
Villa Semi-Detached,South,Zejtun,5.0,2,6.0,0.0,0.0,5500.0,5500.0,5500.0
Villa,South,Zejtun,5.0,6,6.0,,,5500.0,6500.0,5500.0
Penthouse,East,Saint Julian's,5.0,4,4.0,0.0,0.0,1200.0,6000.0,5500.0
Penthouse,East,Ta' Xbiex,3.0,9,2.0,0.0,0.0,2800.0,6000.0,5500.0
Villa Semi-Detached,North,Mellieha,4.0,4,4.0,0.0,0.0,4500.0,6000.0,5500.0
Palazzino,Central,Attard,4.0,1,3.0,,,5500.0,5500.0,5500.0
Block of Apartments,East,Gzira,7.0,2,7.0,0.0,0.0,4500.0,6300.0,5400.0
Penthouse,East,Ta' Xbiex,4.0,1,4.0,0.0,0.0,5350.0,5350.0,5350.0
Villa Semi-Detached,East,Madliena,7.0,2,5.0,0.0,0.0,5000.0,5550.0,5275.0
Villa,West,Rabat,4.0,2,3.5,,,3500.0,7000.0,5250.0
Villa,East,Madliena,5.0,6,3.5,0.0,0.0,4500.0,6000.0,5250.0
Villa,Central,Attard,5.0,7,4.0,0.0,0.0,2500.0,6500.0,5200.0
Villa Semi-Detached,East,Saint Julian's,7.0,1,4.0,0.0,0.0,5100.0,5100.0,5100.0
Block of Apartments,South,Paola,2.0,1,1.0,0.0,0.0,5100.0,5100.0,5100.0
Bungalow,East,Swieqi,3.0,3,3.0,,,4500.0,5000.0,5000.0
Villa,Central,Attard,6.0,1,9.0,0.0,0.0,5000.0,5000.0,5000.0
Block of Apartments,Central,Swatar,3.0,1,2.0,0.0,0.0,5000.0,5000.0,5000.0
Palazzo,Central,Qormi,3.0,2,4.0,,,4500.0,5500.0,5000.0
Villa,East,Madliena,6.0,5,3.0,,,3500.0,7500.0,5000.0
Bungalow,East,Madliena,5.0,1,4.0,,,5000.0,5000.0,5000.0
Villa Semi-Detached,East,Sliema,4.0,1,5.0,,,5000.0,5000.0,5000.0
Villa Semi-Detached,North,Manikata,4.0,1,4.0,,,5000.0,5000.0,5000.0
Villa Semi-Detached,North,Manikata,3.0,1,3.0,,,5000.0,5000.0,5000.0
Villa,North,Wardija,3.0,3,2.0,,,5000.0,6000.0,5000.0
Villa Semi-Detached,East,Swieqi,5.0,3,3.0,0.0,0.0,4000.0,5000.0,5000.0
Villa,North,Wardija,5.0,2,3.5,0.0,0.0,4000.0,6000.0,5000.0
Villa,East,Ta' Xbiex,4.0,1,3.0,0.0,0.0,5000.0,5000.0,5000.0
Villa Semi-Detached,East,San Gwann,2.0,1,3.0,,,5000.0,5000.0,5000.0
Villa Semi-Detached,East,Swieqi,8.0,3,9.0,0.0,0.0,4000.0,5000.0,5000.0
Villa,East,Swieqi,8.0,2,10.0,,,5000.0,5000.0,5000.0
Block of Apartments,East,Ta' Xbiex,11.0,1,11.0,,,5000.0,5000.0,5000.0
Villa,East,San Gwann,6.0,1,3.0,0.0,0.0,5000.0,5000.0,5000.0
Villa,East,Kappara,5.0,3,2.0,0.0,0.0,3200.0,6004.0,4800.0
Villa,South,Zejtun,4.0,2,5.0,,,4750.0,4750.0,4750.0
Villa,East,Madliena,4.0,22,4.0,0.0,0.0,3200.0,8000.0,4650.0
Block of Apartments,East,San Gwann,9.0,1,9.0,,,4500.0,4500.0,4500.0
Block of Apartments,East,Sliema,5.0,2,5.0,250.0,50.0,4500.0,4500.0,4500.0
Villa,Central,Attard,4.0,11,3.0,0.0,0.0,1650.0,8000.0,4500.0
Palazzo,West,Mdina,4.0,6,4.0,0.0,0.0,4500.0,7950.0,4500.0
Penthouse,East,Valletta,3.0,3,2.0,0.0,0.0,1950.0,5500.0,4500.0
Villa Semi-Detached,North,Mellieha,5.0,2,3.0,0.0,0.0,4500.0,4500.0,4500.0
