Type,Province,Town,Bedrooms,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Farmhouse,Gozo,Gozo - Zebbug,3.0,3,2.0,0.0,0.0,900.0,2500.0,2500.0
Farmhouse,Gozo,Gozo - Xewkija,5.0,1,6.0,,,2500.0,2500.0,2500.0
Bungalow,Central,Iklin,3.0,4,2.0,0.0,0.0,2500.0,3200.0,2500.0
House of Character,Gozo,Gozo - Qala,6.0,1,6.0,0.0,0.0,2500.0,2500.0,2500.0
Villa,Gozo,Gozo - Kercem,3.0,1,3.0,0.0,0.0,2500.0,2500.0,2500.0
Farmhouse,East,Kappara,4.0,1,3.0,0.0,0.0,2500.0,2500.0,2500.0
Bungalow Semi-Detached,North,Bidnija,3.0,1,2.0,0.0,0.0,2500.0,2500.0,2500.0
Room,East,Saint Julian's,3.0,1,3.0,,,2500.0,2500.0,2500.0
Bungalow Semi-Detached,North,Qawra,4.0,1,4.0,0.0,0.0,2500.0,2500.0,2500.0
Villa,North,Qawra,4.0,1,4.0,,,2500.0,2500.0,2500.0
Apartment Duplex,East,Swieqi,5.0,1,2.0,,,2500.0,2500.0,2500.0
Penthouse,East,Kappara,3.0,3,2.0,0.0,0.0,2300.0,2800.0,2500.0
Farmhouse,North,Manikata,3.0,1,1.0,,,2500.0,2500.0,2500.0
Penthouse,South,Marsaxlokk,4.0,5,3.0,0.0,0.0,1800.0,2700.0,2500.0
Villa Semi-Detached,West,Rabat,5.0,1,2.0,,,2500.0,2500.0,2500.0
Villa,East,Pembroke,3.0,3,2.0,0.0,0.0,2300.0,5000.0,2500.0
Villa Semi-Detached,East,Msida,3.0,1,2.0,0.0,0.0,2500.0,2500.0,2500.0
Penthouse Duplex,Gozo,Gozo - Xlendi,3.0,1,2.0,0.0,0.0,2500.0,2500.0,2500.0
Villa Semi-Detached,East,Saint Julian's,3.0,15,2.0,0.0,0.0,1700.0,4600.0,2500.0
Villa Semi-Detached,East,Saint Julian's,4.0,5,3.0,0.0,0.0,2100.0,4000.0,2500.0
Villa,East,Saint Julian's,5.0,3,3.0,,,2300.0,4000.0,2500.0
Villa Semi-Detached,North,Mellieha,6.0,1,4.0,0.0,0.0,2500.0,2500.0,2500.0
Farmhouse,West,Siggiewi,2.0,2,2.0,0.0,0.0,2500.0,2500.0,2500.0
Penthouse Duplex,Gozo,Gozo - Ghajnsielem,2.0,1,2.0,0.0,0.0,2500.0,2500.0,2500.0
Penthouse Duplex,East,Pembroke,4.0,1,3.0,0.0,0.0,2500.0,2500.0,2500.0
Villa,East,Sliema,3.0,1,2.0,,,2500.0,2500.0,2500.0
Farmhouse,South,Birzebbuga,4.0,1,3.0,,,2500.0,2500.0,2500.0
Villa,South,Tarxien,4.0,1,3.0,0.0,0.0,2500.0,2500.0,2500.0
Penthouse,East,Sliema,3.0,261,2.0,0.0,0.0,1000.0,9500.0,2500.0
House of Character,Central,Birkirkara,4.0,10,3.0,0.0,0.0,1500.0,2900.0,2500.0
Farmhouse,North,Mgarr,2.0,1,2.0,0.0,0.0,2500.0,2500.0,2500.0
Bungalow,East,Saint Julian's,4.0,1,2.0,,,2500.0,2500.0,2500.0
Farmhouse,Gozo,Gozo - Gharb,5.0,4,4.0,,,1100.0,3300.0,2450.0
Villa Semi-Detached,East,Pembroke,4.0,3,3.0,331.0,0.0,2300.0,4000.0,2450.0
Townhouse,East,Floriana,4.0,1,3.0,0.0,0.0,2400.0,2400.0,2400.0
Villa,East,Saint Julian's,3.0,13,3.0,0.0,0.0,1850.0,4200.0,2400.0
Bungalow,East,Bahar Ic-Caghaq,4.0,6,2.0,0.0,0.0,1800.0,4500.0,2375.0
House of Character,North,Burmarrad,4.0,2,2.5,0.0,0.0,2350.0,2350.0,2350.0
Penthouse,East,Valletta,2.0,20,2.0,0.0,0.0,1900.0,7500.0,2350.0
House of Character,North,Burmarrad,3.0,1,2.0,,,2350.0,2350.0,2350.0
Apartment Duplex,North,Saint Paul's Bay,3.0,4,3.0,0.0,0.0,1900.0,2500.0,2350.0
Farmhouse,South,Marsaskala,3.0,2,1.5,0.0,0.0,1600.0,3000.0,2300.0
Bungalow,East,Madliena,2.0,2,2.0,0.0,0.0,2300.0,2300.0,2300.0
Farmhouse,South,Birzebbuga,3.0,3,2.0,0.0,0.0,1500.0,2500.0,2300.0
Villa Semi-Detached,West,Dingli,3.0,1,2.0,0.0,0.0,2300.0,2300.0,2300.0
Terraced House,East,Sliema,5.0,1,2.0,,,2300.0,2300.0,2300.0
Townhouse,East,Swieqi,5.0,1,2.0,,,2300.0,2300.0,2300.0
House of Character,Central,Mosta,4.0,9,3.5,0.0,0.0,1200.0,3500.0,2300.0
Apartment,East,Ta' Xbiex,3.0,271,2.0,0.0,0.0,550.0,6000.0,2300.0
Villa Semi-Detached,Central,Mosta,4.0,3,4.0,10.0,10.0,1700.0,4200.0,2300.0
House of Character,Central,Lija,4.0,12,3.0,0.0,0.0,1200.0,4000.0,2300.0
Farmhouse,Gozo,Gozo - Qala,7.0,1,6.0,0.0,0.0,2300.0,2300.0,2300.0
Farmhouse,Central,Attard,2.0,2,1.5,,,2200.0,2400.0,2300.0
Farmhouse,North,Bidnija,3.0,1,2.0,0.0,0.0,2300.0,2300.0,2300.0
Villa,Central,Naxxar,2.0,3,3.0,0.0,0.0,1600.0,4500.0,2300.0
Villa,South,Zabbar,2.0,1,3.0,,,2281.0,2281.0,2281.0
Villa,South,Marsaskala,3.0,2,2.5,0.0,0.0,1700.0,2800.0,2250.0
Villa Semi-Detached,East,San Gwann,4.0,4,2.5,0.0,0.0,2000.0,3700.0,2250.0
Penthouse Duplex,West,Rabat,3.0,2,3.0,0.0,0.0,1800.0,2700.0,2250.0
Villa,Central,Birkirkara,3.0,2,3.0,0.0,100.0,2250.0,2250.0,2250.0
Bungalow,North,Qawra,3.0,4,3.0,0.0,0.0,1800.0,2500.0,2250.0
Villa Semi-Detached,North,Saint Paul's Bay,4.0,2,3.5,0.0,0.0,2000.0,2500.0,2250.0
Villa,Gozo,Gozo - Xlendi,3.0,2,2.5,0.0,0.0,2200.0,2250.0,2225.0
Penthouse,East,Saint Julian's,3.0,165,2.0,0.0,0.0,800.0,9500.0,2200.0
Penthouse Duplex,East,Saint Julian's,3.0,15,2.0,0.0,0.0,1100.0,2500.0,2200.0
Palazzo,Central,Attard,3.0,1,2.0,,,2200.0,2200.0,2200.0
Penthouse,East,Paceville,2.0,1,2.0,,,2200.0,2200.0,2200.0
Penthouse,East,Madliena,3.0,10,2.0,0.0,0.0,1400.0,3500.0,2200.0
Palazzo,East,Valletta,4.0,1,,,,2200.0,2200.0,2200.0
House of Character,South,Birzebbuga,4.0,1,4.0,,,2200.0,2200.0,2200.0
House of Character,Central,Qormi,4.0,3,5.0,0.0,0.0,2200.0,3000.0,2200.0
Bungalow,East,Saint Julian's,3.0,4,1.0,0.0,0.0,1500.0,3000.0,2200.0
Villa Semi-Detached,West,Siggiewi,4.0,1,2.0,0.0,0.0,2200.0,2200.0,2200.0
House of Character,South,Birgu,3.0,3,2.0,0.0,0.0,1850.0,2200.0,2200.0
Villa Semi-Detached,Gozo,Gozo - Kercem,3.0,1,3.0,0.0,0.0,2200.0,2200.0,2200.0
Villa Semi-Detached,East,San Gwann,3.0,4,3.0,0.0,0.0,1800.0,2800.0,2200.0
Villa Semi-Detached,East,Swieqi,2.0,1,,0.0,0.0,2200.0,2200.0,2200.0
Bungalow,Central,Lija,3.0,4,2.0,0.0,0.0,2100.0,2300.0,2150.0
Villa Semi-Detached,Central,Mosta,3.0,2,2.0,0.0,0.0,1800.0,2500.0,2150.0
Villa Semi-Detached,North,Qawra,3.0,4,2.5,0.0,0.0,1750.0,4000.0,2150.0
Farmhouse,North,Burmarrad,3.0,3,2.0,0.0,0.0,2000.0,4000.0,2100.0
Apartment,East,Valletta,4.0,3,2.0,0.0,0.0,1000.0,2500.0,2100.0
Farmhouse,South,Marsaxlokk,4.0,3,3.0,0.0,0.0,475.0,2100.0,2100.0
Terraced House,East,Saint Julian's,6.0,1,4.0,0.0,0.0,2100.0,2100.0,2100.0
Townhouse,Central,Swatar,3.0,1,3.0,,,2100.0,2100.0,2100.0
Apartment Duplex,East,Sliema,4.0,4,3.0,0.0,0.0,1500.0,2500.0,2100.0
Guesthouse,Central,Naxxar,3.0,1,3.0,,,2100.0,2100.0,2100.0
Villa Semi-Detached,East,Saint Julian's,5.0,3,3.0,125.0,0.0,2000.0,2800.0,2100.0
Villa Semi-Detached,North,Saint Paul's Bay,3.0,4,2.5,0.0,0.0,2000.0,2200.0,2100.0
House of Character,East,Sliema,3.0,4,2.5,,,1100.0,2500.0,2100.0
House of Character,Central,Naxxar,3.0,21,2.0,0.0,0.0,900.0,2800.0,2100.0
Apartment Duplex,East,Saint Julian's,2.0,40,2.0,0.0,0.0,800.0,2500.0,2050.0
Room,Central,Hamrun,5.0,2,5.0,,,580.0,3500.0,2040.0
Apartment Duplex,East,Saint Julian's,3.0,10,2.0,0.0,0.0,1000.0,2500.0,2025.0
Cottage,North,Wardija,2.0,1,1.0,0.0,0.0,2000.0,2000.0,2000.0
Terraced House,South,Tarxien,2.0,1,3.0,228.0,19.0,2000.0,2000.0,2000.0
Farmhouse,Gozo,Gozo - Kercem,5.0,1,5.0,0.0,0.0,2000.0,2000.0,2000.0
Farmhouse,Gozo,Gozo - Kercem,6.0,1,4.0,,,2000.0,2000.0,2000.0
Terraced House,East,Swieqi,4.0,15,3.0,0.0,0.0,1200.0,2300.0,2000.0
Farmhouse,Gozo,Gozo - San Lawrenz,4.0,4,3.0,0.0,0.0,1350.0,2500.0,2000.0
Terraced House,North,Qawra,3.0,1,2.0,0.0,0.0,2000.0,2000.0,2000.0
Townhouse,East,Sliema,5.0,3,3.0,0.0,0.0,1800.0,2200.0,2000.0
Terraced House,Gozo,Gozo - Ghajnsielem,4.0,1,4.0,,,2000.0,2000.0,2000.0
Townhouse,East,Sliema,7.0,1,2.0,0.0,0.0,2000.0,2000.0,2000.0
Penthouse,Central,Iklin,3.0,1,,,,2000.0,2000.0,2000.0
Maisonette Semi-Detached,North,Qawra,3.0,1,2.0,0.0,0.0,2000.0,2000.0,2000.0
Townhouse,East,Valletta,4.0,1,5.0,0.0,0.0,2000.0,2000.0,2000.0
Terraced House,North,Burmarrad,6.0,1,2.0,200.0,50.0,2000.0,2000.0,2000.0
Apartment,East,Bahar Ic-Caghaq,4.0,7,2.0,105.0,10.5,800.0,2500.0,2000.0
Bungalow,East,Bahar Ic-Caghaq,5.0,1,3.0,,,2000.0,2000.0,2000.0
Villa,Central,Qormi,2.0,1,2.0,,,2000.0,2000.0,2000.0
Villa,Gozo,Gozo - San Lawrenz,4.0,1,5.0,,,2000.0,2000.0,2000.0
Terraced House,South,Luqa,4.0,1,2.0,,,2000.0,2000.0,2000.0
Farmhouse,Gozo,Gozo - Gharb,6.0,1,6.0,0.0,0.0,2000.0,2000.0,2000.0
Maisonette Duplex,East,Valletta,2.0,2,2.0,0.0,0.0,2000.0,2000.0,2000.0
Villa,Gozo,Gozo - Xewkija,3.0,1,2.0,0.0,0.0,2000.0,2000.0,2000.0
Penthouse,East,Pembroke,4.0,1,3.0,,,2000.0,2000.0,2000.0
Villa,Gozo,Gozo - Xewkija,2.0,1,2.0,0.0,0.0,2000.0,2000.0,2000.0
Farmhouse,Central,Qormi,3.0,4,2.0,0.0,0.0,2000.0,2200.0,2000.0
Maisonette Duplex,East,Sliema,4.0,1,3.0,0.0,0.0,2000.0,2000.0,2000.0
Maisonette Duplex,East,Saint Julian's,5.0,1,3.0,,,2000.0,2000.0,2000.0
Townhouse,South,Tarxien,3.0,1,4.0,0.0,0.0,2000.0,2000.0,2000.0
Villa,Gozo,Gozo - Ghasri,4.0,2,4.0,0.0,0.0,2000.0,2000.0,2000.0
House of Character,West,Siggiewi,6.0,1,3.0,0.0,0.0,2000.0,2000.0,2000.0
Penthouse,East,Swieqi,3.0,93,2.0,0.0,0.0,875.0,3700.0,2000.0
Penthouse,East,Swieqi,4.0,7,3.0,0.0,0.0,1500.0,2200.0,2000.0
Farmhouse,Gozo,Gozo - Ghasri,4.0,1,,,,2000.0,2000.0,2000.0
Terraced House,Gozo,Gozo - Sannat,3.0,1,2.0,0.0,0.0,2000.0,2000.0,2000.0
Penthouse,East,Bahar Ic-Caghaq,3.0,32,2.0,0.0,0.0,1350.0,3300.0,2000.0
Terraced House,Gozo,Gozo - San Lawrenz,6.0,1,8.0,0.0,0.0,2000.0,2000.0,2000.0
Farmhouse,Gozo,Gozo - Ghasri,3.0,2,,,,2000.0,2000.0,2000.0
Bungalow Semi-Detached,South,Tarxien,2.0,1,2.0,0.0,0.0,2000.0,2000.0,2000.0
Apartment,East,Madliena,3.0,55,2.0,0.0,0.0,950.0,3500.0,2000.0
Townhouse,South,Birzebbuga,4.0,2,4.0,176.0,83.0,2000.0,2000.0,2000.0
Penthouse Duplex,East,Sliema,3.0,13,2.0,0.0,0.0,1400.0,2800.0,2000.0
Villa Semi-Detached,South,Zurrieq,3.0,1,5.0,295.0,0.0,2000.0,2000.0,2000.0
Penthouse Duplex,East,Gzira,3.0,9,2.0,0.0,0.0,1400.0,2900.0,2000.0
House of Character,South,Birzebbuga,2.0,3,2.0,,,1200.0,2500.0,2000.0
Villa Semi-Detached,East,Pembroke,5.0,1,,,,2000.0,2000.0,2000.0
Villa Semi-Detached,East,Pembroke,3.0,2,3.0,0.0,0.0,2000.0,2000.0,2000.0
Apartment Duplex,East,Ta' Xbiex,3.0,1,2.0,,,2000.0,2000.0,2000.0
Villa Semi-Detached,East,Kappara,4.0,3,3.0,0.0,0.0,1700.0,5000.0,2000.0
Villa Semi-Detached,East,San Gwann,5.0,1,2.0,,,2000.0,2000.0,2000.0
Villa Semi-Detached,Central,Lija,5.0,1,3.0,0.0,0.0,2000.0,2000.0,2000.0
House of Character,South,Marsaxlokk,4.0,1,3.0,,,2000.0,2000.0,2000.0
Penthouse Duplex,East,Swieqi,4.0,1,3.0,,,2000.0,2000.0,2000.0
Townhouse,South,Marsaxlokk,6.0,1,2.0,0.0,0.0,2000.0,2000.0,2000.0
Penthouse Duplex,North,Mellieha,4.0,1,2.0,,,2000.0,2000.0,2000.0
House of Character,East,Sliema,4.0,1,3.0,,,2000.0,2000.0,2000.0
House of Character,West,Mdina,5.0,1,2.0,,,2000.0,2000.0,2000.0
House of Character,East,Gzira,6.0,1,6.0,,,2000.0,2000.0,2000.0
Terraced House,Central,Balzan,5.0,3,3.0,0.0,0.0,1900.0,2000.0,2000.0
Bungalow,Central,Mosta,3.0,5,3.0,0.0,0.0,1500.0,3250.0,2000.0
House of Character,East,Gharghur,3.0,25,3.0,0.0,0.0,1100.0,5000.0,2000.0
Farmhouse,South,Zurrieq,3.0,6,2.0,0.0,0.0,1200.0,3800.0,2000.0
Block of Apartments,Central,Mosta,1.0,1,1.0,0.0,0.0,2000.0,2000.0,2000.0
House of Character,Central,Lija,3.0,15,3.0,0.0,0.0,1200.0,4000.0,2000.0
Townhouse,South,Kalkara,3.0,3,3.0,0.0,0.0,2000.0,2000.0,2000.0
Villa Semi-Detached,Gozo,Gozo - Ghasri,3.0,3,3.0,0.0,0.0,1800.0,2200.0,2000.0
Apartment Duplex,East,Saint Julian's,5.0,1,3.0,0.0,0.0,2000.0,2000.0,2000.0
House of Character,North,Bidnija,4.0,1,3.0,,,2000.0,2000.0,2000.0
Farmhouse,Central,Naxxar,3.0,2,2.5,0.0,0.0,1200.0,2750.0,1975.0
Penthouse,East,Valletta,1.0,8,1.0,0.0,0.0,1000.0,3500.0,1950.0
Penthouse,Central,Mosta,4.0,10,2.5,183.0,41.0,850.0,1950.0,1950.0
Terraced House,North,Bugibba,4.0,1,2.0,,,1900.0,1900.0,1900.0
Villa,East,San Gwann,3.0,2,3.0,0.0,0.0,1800.0,2000.0,1900.0
Townhouse,South,Zurrieq,4.0,1,2.0,0.0,0.0,1900.0,1900.0,1900.0
Townhouse,East,Msida,4.0,1,3.0,,,1900.0,1900.0,1900.0
Farmhouse,North,Bidnija,4.0,1,3.0,0.0,0.0,1900.0,1900.0,1900.0
Terraced House,East,Bahar Ic-Caghaq,3.0,7,2.0,0.0,0.0,800.0,1950.0,1900.0
Terraced House,Central,Attard,4.0,5,2.0,0.0,0.0,1500.0,2200.0,1900.0
Townhouse,East,Saint Julian's,4.0,2,2.5,0.0,0.0,1800.0,2000.0,1900.0
Bungalow Semi-Detached,South,Birzebbuga,3.0,1,2.0,0.0,0.0,1900.0,1900.0,1900.0
Terraced House,North,Bugibba,5.0,1,2.0,0.0,0.0,1900.0,1900.0,1900.0
House of Character,South,Luqa,3.0,2,2.5,,,1900.0,1900.0,1900.0
Penthouse,Central,Naxxar,4.0,1,3.0,0.0,0.0,1900.0,1900.0,1900.0
Townhouse,North,Burmarrad,3.0,1,2.0,,,1875.0,1875.0,1875.0
House of Character,Gozo,Gozo - Xaghra,6.0,2,3.0,0.0,0.0,1200.0,2500.0,1850.0
Penthouse,East,Gharghur,4.0,1,2.0,0.0,0.0,1850.0,1850.0,1850.0
Apartment,East,Msida,5.0,2,2.5,0.0,0.0,1500.0,2200.0,1850.0
Farmhouse,Gozo,Gozo - Ghasri,7.0,1,6.0,,,1850.0,1850.0,1850.0
Bungalow Semi-Detached,East,Kappara,3.0,2,3.5,0.0,0.0,1500.0,2200.0,1850.0
Maisonette Semi-Detached,North,Xemxija,3.0,1,2.0,,,1800.0,1800.0,1800.0
Maisonette Semi-Detached,East,Gzira,4.0,1,3.0,0.0,0.0,1800.0,1800.0,1800.0
House of Character,North,Mellieha,4.0,2,2.0,0.0,0.0,1600.0,2000.0,1800.0
Apartment,East,Sliema,3.0,3612,2.0,0.0,0.0,55.0,6000.0,1800.0
Apartment,East,Swieqi,5.0,4,2.0,0.0,0.0,1000.0,3000.0,1800.0
Townhouse,South,Zejtun,3.0,7,3.0,0.0,0.0,1100.0,2000.0,1800.0
Terraced House,North,Wardija,3.0,3,2.0,0.0,0.0,1800.0,1800.0,1800.0
Apartment,South,Birgu,3.0,45,2.0,0.0,0.0,1000.0,2600.0,1800.0
Townhouse,Gozo,Gozo - San Lawrenz,4.0,1,5.0,0.0,0.0,1800.0,1800.0,1800.0
Farmhouse,Gozo,Gozo - Gharb,4.0,15,4.0,0.0,0.0,1000.0,3500.0,1800.0
Farmhouse,West,Rabat,3.0,2,2.0,0.0,0.0,1400.0,2200.0,1800.0
Townhouse,North,Mellieha,4.0,3,2.0,0.0,0.0,1000.0,1800.0,1800.0
Townhouse,Central,Mosta,6.0,1,2.0,0.0,0.0,1800.0,1800.0,1800.0
Townhouse,East,Sliema,4.0,30,2.0,0.0,0.0,700.0,2400.0,1800.0
Terraced House,South,Kirkop,3.0,3,2.0,,,900.0,1950.0,1800.0
House of Character,Central,Qormi,3.0,7,3.0,25.0,25.0,1400.0,2250.0,1800.0
Terraced House,East,Bahar Ic-Caghaq,2.0,1,3.0,,,1800.0,1800.0,1800.0
Penthouse,East,Gzira,3.0,76,2.0,0.0,0.0,1000.0,3000.0,1800.0
Apartment,South,Marsaskala,5.0,2,3.0,0.0,0.0,850.0,2750.0,1800.0
Penthouse,East,Paceville,5.0,1,3.0,,,1800.0,1800.0,1800.0
Bungalow Semi-Detached,Central,Attard,3.0,1,1.0,0.0,0.0,1800.0,1800.0,1800.0
Room,East,Gzira,1.0,111,1.0,0.0,0.0,60.0,1800.0,1800.0
Terraced House,East,Swieqi,2.0,1,,0.0,0.0,1800.0,1800.0,1800.0
Terraced House,East,Kappara,4.0,1,3.0,,,1800.0,1800.0,1800.0
Apartment Duplex,East,Gzira,1.0,5,1.0,0.0,0.0,795.0,1800.0,1800.0
Terraced House,East,Saint Julian's,2.0,5,3.0,0.0,0.0,1100.0,2300.0,1800.0
Apartment Duplex,East,Valletta,2.0,5,2.0,50.0,10.0,1450.0,1800.0,1800.0
Apartment Duplex,North,Xemxija,2.0,1,2.0,,,1800.0,1800.0,1800.0
Penthouse Duplex,East,Saint Julian's,4.0,1,2.0,,,1800.0,1800.0,1800.0
Penthouse Duplex,East,Sliema,4.0,2,3.0,0.0,0.0,1300.0,2300.0,1800.0
Penthouse,East,Msida,4.0,3,2.0,0.0,0.0,1800.0,2000.0,1800.0
Apartment Duplex,East,Saint Julian's,4.0,2,2.5,0.0,0.0,1450.0,2100.0,1775.0
Apartment,East,Saint Julian's,4.0,58,2.0,0.0,0.0,700.0,5000.0,1750.0
Penthouse Duplex,East,Madliena,3.0,2,3.0,,,1700.0,1800.0,1750.0
House of Character,East,Valletta,2.0,6,2.0,0.0,0.0,1000.0,4000.0,1750.0
Bungalow Semi-Detached,South,Marsaskala,3.0,2,2.0,,,1500.0,2000.0,1750.0
Townhouse,East,Saint Julian's,2.0,10,2.0,0.0,0.0,850.0,1800.0,1750.0
Apartment Duplex,East,Gzira,3.0,1,3.0,,,1750.0,1750.0,1750.0
House of Character,South,Zurrieq,5.0,1,2.0,,,1750.0,1750.0,1750.0
Villa,Central,Attard,3.0,10,3.0,0.0,0.0,1500.0,4000.0,1750.0
Townhouse,South,Senglea,5.0,2,3.0,0.0,0.0,1500.0,1900.0,1700.0
Terraced House,East,Gzira,4.0,1,1.0,10.0,10.0,1700.0,1700.0,1700.0
Palazzo,Central,Balzan,4.0,1,3.0,0.0,0.0,1700.0,1700.0,1700.0
House of Character,Central,Attard,2.0,4,2.0,,,890.0,1900.0,1700.0
Apartment Duplex,East,San Gwann,2.0,2,2.0,,,1400.0,2000.0,1700.0
Villa Semi-Detached,Gozo,Gozo - Qala,3.0,1,2.0,0.0,0.0,1700.0,1700.0,1700.0
Bungalow Semi-Detached,Gozo,Gozo - Ghasri,3.0,1,3.0,0.0,0.0,1700.0,1700.0,1700.0
Penthouse,East,Sliema,2.0,371,2.0,0.0,0.0,600.0,6000.0,1700.0
Maisonette Duplex,West,Siggiewi,4.0,2,3.0,0.0,0.0,1700.0,1700.0,1700.0
Maisonette Duplex,East,Madliena,3.0,4,2.0,0.0,0.0,1350.0,2000.0,1700.0
Apartment Duplex,East,Valletta,1.0,1,2.0,,,1700.0,1700.0,1700.0
Bungalow,Central,Santa Venera,3.0,3,2.0,,,1300.0,1700.0,1700.0
Maisonette Duplex,East,Bahar Ic-Caghaq,3.0,2,3.0,,,1600.0,1800.0,1700.0
Penthouse Duplex,East,Sliema,2.0,35,2.0,0.0,0.0,1100.0,2500.0,1700.0
House of Character,West,Siggiewi,3.0,11,2.0,0.0,0.0,750.0,3500.0,1700.0
House of Character,Central,Mosta,3.0,11,2.0,0.0,0.0,1100.0,2500.0,1700.0
House of Character,East,Saint Julian's,3.0,1,3.0,,,1700.0,1700.0,1700.0
Townhouse,South,Senglea,3.0,3,3.0,0.0,0.0,1700.0,2200.0,1700.0
Villa,North,Qawra,3.0,2,2.0,0.0,0.0,1600.0,1750.0,1675.0
Penthouse Duplex,Central,Balzan,3.0,2,2.0,0.0,0.0,1500.0,1850.0,1675.0
Apartment,East,Madliena,4.0,2,2.0,100.0,50.0,1350.0,2000.0,1675.0
Townhouse,East,Saint Julian's,3.0,6,2.5,0.0,0.0,1000.0,2000.0,1675.0
House of Character,North,Mellieha,3.0,8,3.0,0.0,0.0,1300.0,2700.0,1650.0
Terraced House,South,Zejtun,3.0,4,3.0,0.0,0.0,1200.0,2000.0,1650.0
Penthouse,South,Marsaskala,4.0,4,3.0,85.0,65.0,800.0,1950.0,1650.0
Apartment Duplex,Central,Attard,3.0,4,3.0,0.0,0.0,1500.0,2100.0,1650.0
Townhouse,East,Sliema,3.0,87,2.0,0.0,0.0,800.0,2450.0,1650.0
Terraced House,Central,Swatar,4.0,2,2.5,0.0,0.0,1500.0,1800.0,1650.0
Maisonette Semi-Detached,East,Saint Julian's,3.0,3,2.0,0.0,0.0,1500.0,1800.0,1650.0
Penthouse,East,Saint Julian's,2.0,230,2.0,0.0,0.0,85.0,6000.0,1650.0
Bungalow Semi-Detached,North,Qawra,3.0,4,2.0,0.0,0.0,1600.0,2000.0,1650.0
Bungalow Semi-Detached,Central,Mosta,3.0,4,2.5,0.0,0.0,1500.0,1700.0,1650.0
Maisonette Duplex,East,Gzira,3.0,2,2.5,0.0,0.0,1500.0,1800.0,1650.0
Apartment Duplex,South,Kalkara,2.0,2,2.5,,,1500.0,1800.0,1650.0
Terraced House,East,Saint Julian's,3.0,10,2.0,0.0,0.0,750.0,2200.0,1625.0
Penthouse,Central,Lija,3.0,8,2.0,105.0,47.5,1100.0,3000.0,1625.0
House of Character,Gozo,Gozo - Gharb,5.0,2,4.5,0.0,0.0,1500.0,1750.0,1625.0
Terraced House,East,Saint Julian's,4.0,3,2.0,0.0,0.0,1500.0,2200.0,1600.0
Penthouse,North,Mellieha,5.0,1,4.0,,,1600.0,1600.0,1600.0
Terraced House,East,Pembroke,3.0,11,3.0,0.0,0.0,1100.0,2300.0,1600.0
Apartment,East,Pembroke,3.0,19,2.0,0.0,0.0,950.0,2400.0,1600.0
Penthouse Duplex,East,Saint Julian's,2.0,24,2.0,0.0,0.0,850.0,2800.0,1600.0
Farmhouse,South,Marsaxlokk,3.0,1,2.0,,,1600.0,1600.0,1600.0
Apartment,East,Madliena,2.0,33,2.0,0.0,0.0,800.0,3500.0,1600.0
House of Character,South,Cospicua,8.0,1,2.0,,,1600.0,1600.0,1600.0
Townhouse,East,Swieqi,4.0,1,3.0,,,1600.0,1600.0,1600.0
Terraced House,East,San Gwann,4.0,7,2.0,0.0,0.0,1400.0,2000.0,1600.0
Terraced House,East,Swieqi,3.0,19,3.0,0.0,0.0,750.0,2300.0,1600.0
Penthouse,East,San Gwann,4.0,2,1.5,0.0,0.0,1500.0,1700.0,1600.0
Apartment,East,Gzira,4.0,32,2.0,0.0,0.0,800.0,5000.0,1600.0
Bungalow Semi-Detached,South,Birzebbuga,4.0,1,2.0,,,1600.0,1600.0,1600.0
Penthouse,Central,Birkirkara,4.0,3,2.0,,,1200.0,1600.0,1600.0
Maisonette Semi-Detached,East,Swieqi,3.0,3,2.5,0.0,0.0,1500.0,1600.0,1600.0
Terraced House,Central,Attard,5.0,1,4.0,0.0,0.0,1600.0,1600.0,1600.0
Block of Apartments,East,Gzira,2.0,7,2.0,0.0,0.0,900.0,6000.0,1600.0
House of Character,Central,Mosta,5.0,1,,,,1600.0,1600.0,1600.0
Maisonette Duplex,Gozo,Gozo - Ghajnsielem,3.0,1,2.0,0.0,0.0,1600.0,1600.0,1600.0
Maisonette Duplex,Gozo,Gozo - Fontana,4.0,1,3.0,0.0,0.0,1600.0,1600.0,1600.0
Farmhouse,Central,Qormi,2.0,5,2.0,0.0,0.0,1000.0,1600.0,1600.0
Penthouse,East,Pieta,4.0,1,2.0,,,1600.0,1600.0,1600.0
Bungalow,North,Wardija,2.0,4,1.5,0.0,0.0,1000.0,4000.0,1600.0
House of Character,Gozo,Gozo - Gharb,6.0,2,5.5,0.0,0.0,1600.0,1600.0,1600.0
Terraced House,South,Marsaxlokk,3.0,1,2.0,,,1600.0,1600.0,1600.0
Terraced House,East,Ta' Xbiex,4.0,1,4.0,,,1600.0,1600.0,1600.0
Apartment,East,Valletta,3.0,31,2.0,0.0,0.0,850.0,3300.0,1600.0
Apartment Duplex,East,Sliema,3.0,8,2.0,0.0,0.0,1200.0,2200.0,1600.0
House of Character,Central,Balzan,2.0,4,2.0,0.0,0.0,1200.0,2000.0,1600.0
Townhouse,South,Cospicua,8.0,4,2.0,0.0,0.0,1400.0,1600.0,1600.0
Farmhouse,Gozo,Gozo - Ghasri,6.0,2,6.0,0.0,0.0,1200.0,2000.0,1600.0
Terraced House,West,Dingli,3.0,7,2.0,0.0,0.0,1100.0,2300.0,1600.0
