Type,Town,Bedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Loan,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return,Down_Years,Prop_Years,Total_Years
Penthouse,Zabbar,3.0,62,14,2.0,2.0,111.0,55.0,31.0,8.0,235000,499000,369951.61,750,1200,942.86,92487.9,277463.71,15934.15,1327.85,47.14,47.14,94.29,-6882.69,-573.56,-0.07,-13.44,-40.31,-53.75
Penthouse,Gozo - Xewkija,2.0,8,9,2.0,2.0,139.0,0.0,37.0,0.0,138000,398000,264250.0,600,900,727.78,66062.5,198187.5,11381.49,948.46,36.39,36.39,72.78,-4394.8,-366.23,-0.07,-15.03,-45.1,-60.13
Maisonette,Birgu,1.0,6,4,1.0,1.0,67.0,0.0,0.0,0.0,169000,365000,238666.67,500,800,650.0,59666.67,179000.0,10279.59,856.63,32.5,32.5,65.0,-4039.59,-336.63,-0.07,-14.77,-44.31,-59.08
Penthouse,Swatar,3.0,8,10,2.0,2.0,132.5,0.0,32.5,0.0,350000,490000,428250.0,950,1400,1185.0,107062.5,321187.5,18445.11,1537.09,59.25,59.25,118.5,-7069.11,-589.09,-0.07,-15.15,-45.44,-60.58
Maisonette,Birzebbuga,2.0,21,8,2.0,1.0,90.0,0.0,11.0,0.0,197000,475000,279619.05,650,850,718.75,69904.76,209714.29,12043.45,1003.62,35.94,35.94,71.88,-5143.45,-428.62,-0.07,-13.59,-40.77,-54.36
Penthouse,Zejtun,2.0,31,8,2.0,2.0,88.0,0.0,26.5,0.0,245000,329000,293693.55,600,1250,819.38,73423.39,220270.16,12649.65,1054.14,40.97,40.97,81.94,-4783.6,-398.63,-0.07,-15.35,-46.05,-61.4
House of Character,Gozo - Xaghra,3.0,9,16,3.0,3.0,137.5,0.0,97.5,0.0,298000,720000,537555.56,600,2500,1371.88,134388.89,403166.67,23153.0,1929.42,68.59,68.59,137.19,-9982.96,-831.91,-0.07,-13.46,-40.39,-53.85
Apartment,Mgarr,3.0,161,138,2.0,2.0,119.0,0.0,17.0,0.0,218000,534500,344906.83,80,1500,900.98,86226.71,258680.12,14855.45,1237.95,45.05,45.05,90.1,-6206.04,-517.17,-0.07,-13.89,-41.68,-55.58
Townhouse,Zejtun,2.0,16,6,1.0,2.0,70.0,0.0,3.0,0.0,198000,585000,370312.5,550,1250,941.67,92578.12,277734.38,15949.69,1329.14,47.08,47.08,94.17,-6909.66,-575.81,-0.07,-13.4,-40.2,-53.59
Apartment,Dingli,3.0,52,15,2.0,2.0,133.0,0.0,22.0,0.0,230000,479000,349611.54,750,1200,886.67,87402.88,262208.65,15058.08,1254.84,44.33,44.33,88.67,-6546.05,-545.5,-0.07,-13.35,-40.06,-53.41
Apartment,Gozo - Gharb,2.0,17,5,2.0,2.0,84.0,0.0,6.0,0.0,123000,368000,220352.94,500,750,590.0,55088.24,165264.71,9490.8,790.9,29.5,29.5,59.0,-3826.8,-318.9,-0.07,-14.4,-43.19,-57.58
Townhouse,Senglea,2.0,19,7,2.0,2.0,92.5,59.5,25.0,12.5,176000,685000,451052.63,650,3000,1257.14,112763.16,338289.47,19427.24,1618.94,62.86,62.86,125.71,-7358.7,-613.23,-0.07,-15.32,-45.97,-61.3
Townhouse,Rabat,4.0,5,4,3.0,2.5,175.0,0.0,18.0,0.0,475000,735000,597000.0,1200,2500,1587.5,149250.0,447750.0,25713.33,2142.78,79.38,79.38,158.75,-10473.33,-872.78,-0.07,-14.25,-42.75,-57.0
Townhouse,Rabat,3.0,20,19,2.0,2.0,164.0,0.0,14.0,0.0,297000,690000,504300.0,450,2500,1344.74,126075.0,378225.0,21720.66,1810.05,67.24,67.24,134.47,-8811.15,-734.26,-0.07,-14.31,-42.93,-57.23
Townhouse,Naxxar,3.0,17,10,2.0,2.5,125.0,0.0,14.0,0.0,395000,805000,535764.71,850,2500,1370.0,133941.18,401823.53,23075.87,1922.99,68.5,68.5,137.0,-9923.87,-826.99,-0.07,-13.5,-40.49,-53.99
Townhouse,Mosta,3.0,9,9,2.0,2.0,202.5,0.0,22.5,0.0,280000,797500,510166.67,800,2500,1388.89,127541.67,382625.0,21973.34,1831.11,69.44,69.44,138.89,-8640.0,-720.0,-0.07,-14.76,-44.29,-59.05
Townhouse,Luqa,3.0,11,9,2.0,2.0,160.0,0.0,20.0,0.0,287000,700000,533363.64,875,1850,1369.44,133340.91,400022.73,22972.45,1914.37,68.47,68.47,136.94,-9825.83,-818.82,-0.07,-13.57,-40.71,-54.28
Terraced House,Attard,4.0,3,5,3.0,2.0,,0.0,,0.0,675000,798000,721000.0,1500,2200,1890.0,180250.0,540750.0,31054.12,2587.84,94.5,94.5,189.0,-12910.12,-1075.84,-0.07,-13.96,-41.89,-55.85
Townhouse,Kalkara,2.0,6,7,1.5,2.0,0.0,0.0,0.0,0.0,212000,750000,423000.0,800,1200,1085.71,105750.0,317250.0,18218.99,1518.25,54.29,54.29,108.57,-7796.18,-649.68,-0.07,-13.56,-40.69,-54.26
Apartment,Naxxar,4.0,7,22,2.0,2.0,145.0,0.0,21.0,0.0,308000,370000,361142.86,800,1400,970.45,90285.72,270857.14,15554.75,1296.23,48.52,48.52,97.05,-6238.43,-519.87,-0.07,-14.47,-43.42,-57.89
Townhouse,Gozo - Xewkija,3.0,3,3,3.0,2.5,,0.0,,0.0,150000,425000,333333.33,650,1000,866.67,83333.33,250000.0,14356.97,1196.41,43.33,43.33,86.67,-6036.94,-503.08,-0.07,-13.8,-41.41,-55.22
Apartment Duplex,Swieqi,3.0,7,10,3.0,2.0,131.0,0.0,30.0,0.0,465000,680000,577857.14,1000,2500,1590.0,144464.28,433392.86,24888.83,2074.07,79.5,79.5,159.0,-9624.83,-802.07,-0.07,-15.01,-45.03,-60.04
Farmhouse,Gozo - Xaghra,4.0,4,4,3.5,4.5,,0.0,,0.0,445000,690000,507750.0,1150,1600,1362.5,126937.5,380812.5,21869.25,1822.44,68.12,68.12,136.25,-8789.25,-732.44,-0.07,-14.44,-43.33,-57.77
Penthouse,Sliema,1.0,20,212,1.0,1.0,53.5,0.0,28.5,0.0,265000,620000,466075.0,155,3800,1277.19,116518.75,349556.25,20074.27,1672.86,63.86,63.86,127.72,-7813.25,-651.1,-0.07,-14.91,-44.74,-59.65
Terraced House,Gozo - Xewkija,4.0,11,8,4.0,2.0,210.5,0.0,88.0,0.0,298000,490000,380181.82,750,1300,1011.88,95045.46,285136.36,16374.77,1364.56,50.59,50.59,101.19,-6660.73,-555.06,-0.07,-14.27,-42.81,-57.08
Terraced House,Gozo - Kercem,3.0,5,3,2.0,3.0,149.0,0.0,49.0,0.0,478000,690000,611600.0,900,2500,1633.33,152900.0,458700.0,26342.16,2195.18,81.67,81.67,163.33,-10662.2,-888.52,-0.07,-14.34,-43.02,-57.36
House Of Character,Siggiewi,3.0,8,3,2.0,2.0,,,,,395000,745000,554375.0,1400,1800,1533.33,138593.75,415781.25,23877.43,1989.79,76.67,76.67,153.33,-9157.46,-763.12,-0.07,-15.13,-45.4,-60.54
Maisonette,Mgarr,3.0,10,41,2.0,2.0,117.0,0.0,24.5,0.0,298000,325000,317500.0,80,1200,878.17,79375.0,238125.0,13675.01,1139.58,43.91,43.91,87.82,-5244.58,-437.05,-0.07,-15.13,-45.4,-60.54
Penthouse,Gharghur,2.0,15,42,2.0,2.0,45.0,0.0,29.5,0.0,290000,675000,471333.33,600,2750,1196.43,117833.33,353500.0,20300.75,1691.73,59.82,59.82,119.64,-8815.02,-734.59,-0.07,-13.37,-40.1,-53.47
Penthouse,Safi,3.0,7,5,2.0,2.0,139.5,0.0,34.0,0.0,345000,479000,418857.14,800,1300,1170.0,104714.28,314142.86,18040.56,1503.38,58.5,58.5,117.0,-6808.56,-567.38,-0.07,-15.38,-46.14,-61.52
Penthouse,Burmarrad,3.0,27,5,2.0,2.0,117.5,0.0,26.5,0.0,301000,723000,438370.37,800,1500,1140.0,109592.59,328777.78,18881.01,1573.42,57.0,57.0,114.0,-7937.01,-661.42,-0.07,-13.81,-41.42,-55.23
Penthouse,Birkirkara,4.0,7,3,2.0,2.0,137.0,,160.0,,450000,690000,563857.14,1200,1600,1466.67,140964.28,422892.86,24285.84,2023.82,73.33,73.33,146.67,-10205.8,-850.48,-0.07,-13.81,-41.44,-55.25
Maisonette,Qrendi,3.0,30,10,2.0,2.0,115.0,0.0,18.0,0.0,230000,425000,314033.33,650,1000,852.0,78508.33,235525.0,13525.7,1127.14,42.6,42.6,85.2,-5346.5,-445.54,-0.07,-14.68,-44.05,-58.74
Penthouse,Gozo - Ghajnsielem,3.0,10,10,2.0,2.0,106.5,0.0,51.0,0.0,180000,385000,280300.0,550,1000,772.5,70075.0,210225.0,12072.77,1006.06,38.62,38.62,77.25,-4656.77,-388.06,-0.07,-15.05,-45.14,-60.19
Penthouse,Gozo - Marsalforn,3.0,8,13,2.0,2.0,95.5,0.0,47.0,0.0,218000,395000,320375.0,500,1450,830.77,80093.75,240281.25,13798.84,1149.9,41.54,41.54,83.08,-5823.45,-485.29,-0.07,-13.75,-41.26,-55.01
Penthouse,Qawra,2.0,71,60,2.0,2.0,97.5,0.0,56.0,0.0,202000,495000,352591.55,595,2000,957.0,88147.89,264443.66,15186.44,1265.54,47.85,47.85,95.7,-5999.24,-499.94,-0.07,-14.69,-44.08,-58.77
Penthouse,Attard,1.0,7,7,1.0,1.0,58.0,0.0,50.0,0.0,235000,350000,294357.14,550,950,778.57,73589.28,220767.86,12678.23,1056.52,38.93,38.93,77.86,-5203.96,-433.66,-0.07,-14.14,-42.42,-56.56
Maisonette Duplex,Birkirkara,3.0,13,4,2.0,2.0,169.0,0.0,27.0,0.0,250000,638000,405307.69,700,1500,1050.0,101326.92,303980.77,17456.97,1454.75,52.5,52.5,105.0,-7376.97,-614.75,-0.07,-13.74,-41.21,-54.94
Penthouse,Mgarr,1.0,5,7,1.0,1.0,70.0,0.0,34.0,0.0,275000,355000,312000.0,600,1200,814.29,78000.0,234000.0,13438.12,1119.84,40.71,40.71,81.43,-5620.94,-468.41,-0.07,-13.88,-41.63,-55.51
Penthouse,Gozo - Nadur,2.0,13,3,2.0,1.0,156.0,0.0,51.0,0.0,169000,468000,276461.54,600,1000,750.0,69115.38,207346.15,11907.45,992.29,37.5,37.5,75.0,-4707.45,-392.29,-0.07,-14.68,-44.05,-58.73
Penthouse,Gozo - Qala,2.0,11,7,2.0,2.0,108.5,0.0,41.0,0.0,180000,405000,297090.91,600,1200,821.43,74272.73,222818.18,12795.97,1066.33,41.07,41.07,82.14,-4910.25,-409.19,-0.07,-15.13,-45.38,-60.5
Penthouse,Rabat,2.0,29,14,2.0,2.0,100.0,0.0,35.0,0.0,315000,553000,410137.93,800,1600,1128.57,102534.48,307603.45,17665.01,1472.08,56.43,56.43,112.86,-6830.74,-569.23,-0.07,-15.01,-45.03,-60.04
Maisonette,Mqabba,3.0,17,5,2.0,2.0,93.0,0.0,32.0,0.0,260000,499500,327323.53,750,950,880.0,81830.88,245492.65,14098.12,1174.84,44.0,44.0,88.0,-5650.12,-470.84,-0.07,-14.48,-43.45,-57.93
Maisonette,Gozo - Nadur,3.0,15,7,2.0,1.5,142.0,0.0,24.0,0.0,220000,341500,270933.33,450,1250,700.0,67733.33,203200.0,11669.34,972.45,35.0,35.0,70.0,-4949.34,-412.45,-0.07,-13.69,-41.06,-54.74
Maisonette,Gozo - Xaghra,2.0,7,3,2.0,2.0,118.0,0.0,91.5,0.0,160000,248000,210571.43,450,750,583.33,52642.86,157928.57,9069.5,755.79,29.17,29.17,58.33,-3469.53,-289.13,-0.07,-15.17,-45.52,-60.69
Maisonette,Zebbug,2.0,26,18,2.0,1.0,102.0,0.0,32.0,0.0,255000,410000,324076.92,650,1200,852.78,81019.23,243057.69,13958.29,1163.19,42.64,42.64,85.28,-5771.6,-480.97,-0.07,-14.04,-42.11,-56.15
Maisonette,Madliena,3.0,3,47,2.0,2.0,200.0,0.0,40.0,0.0,530000,532000,531000.0,775,3000,1461.17,132750.0,398250.0,22870.65,1905.89,73.06,73.06,146.12,-8843.42,-736.95,-0.07,-15.01,-45.03,-60.04
Maisonette,Gozo - Qala,2.0,3,3,2.0,2.0,81.0,0.0,30.0,0.0,165000,248500,209500.0,450,600,550.0,52375.0,157125.0,9023.35,751.95,27.5,27.5,55.0,-3743.35,-311.95,-0.07,-13.99,-41.97,-55.97
Maisonette,Siggiewi,3.0,19,11,2.0,2.0,120.0,0.0,23.0,0.0,200000,525000,365368.42,800,1200,940.91,91342.1,274026.32,15736.75,1311.4,47.05,47.05,94.09,-6704.01,-558.67,-0.07,-13.62,-40.87,-54.5
Maisonette,Iklin,3.0,27,11,2.0,2.0,110.0,0.0,20.0,0.0,299000,650000,397185.19,600,1400,1045.45,99296.3,297888.89,17107.12,1425.59,52.27,52.27,104.55,-7070.8,-589.23,-0.07,-14.04,-42.13,-56.17
Penthouse,Siggiewi,2.0,18,13,2.0,1.5,96.0,0.0,50.0,0.0,245000,478000,351361.11,700,1500,896.15,87840.28,263520.83,15133.44,1261.12,44.81,44.81,89.62,-6530.4,-544.2,-0.07,-13.45,-40.35,-53.8
Farmhouse,Gozo - Qala,3.0,4,5,3.0,3.0,54.0,0.0,44.5,0.0,430000,720000,502500.0,800,1400,1150.0,125625.0,376875.0,21643.13,1803.59,57.5,57.5,115.0,-10603.13,-883.59,-0.08,-11.85,-35.54,-47.39
Farmhouse,Gozo - San Lawrenz,3.0,3,4,4.0,3.0,,0.0,,0.0,425000,688500,570833.33,800,2000,1400.0,142708.33,428125.0,24586.31,2048.86,70.0,70.0,140.0,-11146.31,-928.86,-0.08,-12.8,-38.41,-51.21
Penthouse,Attard,3.0,40,27,2.0,2.0,136.0,0.0,35.0,0.0,385000,825000,547912.5,750,2000,1366.67,136978.12,410934.38,23599.09,1966.59,68.33,68.33,136.67,-10479.05,-873.25,-0.08,-13.07,-39.21,-52.29
Penthouse,Birzebbuga,3.0,13,11,2.0,2.0,107.0,0.0,50.0,0.0,310000,530000,401461.54,700,1400,986.36,100365.38,301096.15,17291.31,1440.94,49.32,49.32,98.64,-7822.26,-651.85,-0.08,-12.83,-38.49,-51.32
Terraced House,Zebbug,3.0,8,10,2.0,2.0,224.0,0.0,30.0,0.0,630500,650000,642562.5,850,2500,1530.0,160640.62,481921.88,27675.75,2306.31,76.5,76.5,153.0,-12987.75,-1082.31,-0.08,-12.37,-37.11,-49.47
Terraced House,Zebbug,4.0,5,10,2.0,2.5,270.0,0.0,80.0,0.0,287000,650000,516000.0,700,1600,1265.0,129000.0,387000.0,22224.59,1852.05,63.25,63.25,126.5,-10080.59,-840.05,-0.08,-12.8,-38.39,-51.19
Farmhouse,Gozo - Xaghra,3.0,13,15,3.0,4.0,150.0,0.0,81.0,0.0,318000,690000,531615.38,170,2000,1266.67,132903.84,398711.54,22897.15,1908.1,63.33,63.33,126.67,-10737.12,-894.76,-0.08,-12.38,-37.13,-49.51
Penthouse,Birzebbuga,2.0,28,17,2.0,1.0,87.0,0.0,40.0,0.0,195000,450000,331500.0,50,1100,823.53,82875.0,248625.0,14278.0,1189.83,41.18,41.18,82.35,-6372.12,-531.01,-0.08,-13.01,-39.02,-52.02
Terraced House,Gozo - Xewkija,3.0,7,5,4.0,1.5,206.0,0.0,61.0,0.0,190000,398000,297000.0,500,900,700.0,74250.0,222750.0,12792.06,1066.0,35.0,35.0,70.0,-6072.06,-506.0,-0.08,-12.23,-36.68,-48.91
Terraced House,Gozo - Xaghra,3.0,24,7,3.5,2.0,177.0,0.0,45.0,0.0,350000,565000,421583.33,600,2500,1035.71,105395.83,316187.5,18157.97,1513.16,51.79,51.79,103.57,-8215.16,-684.6,-0.08,-12.83,-38.49,-51.32
Townhouse,Qormi,2.0,19,6,2.0,2.0,123.5,0.0,12.5,0.0,160000,650000,366368.42,700,1000,833.33,91592.1,274776.32,15779.82,1314.98,41.67,41.67,83.33,-7779.85,-648.32,-0.08,-11.77,-35.32,-47.09
Townhouse,Qormi,3.0,46,6,2.0,2.0,141.0,0.0,27.0,0.0,235000,797000,451897.28,850,1300,1075.0,112974.32,338922.96,19463.62,1621.97,53.75,53.75,107.5,-9143.62,-761.97,-0.08,-12.36,-37.07,-49.42
Terraced House,Pieta,3.0,3,4,2.0,2.0,,0.0,,0.0,390000,589000,464666.67,1000,1300,1125.0,116166.67,348500.0,20013.61,1667.8,56.25,56.25,112.5,-9213.61,-767.8,-0.08,-12.61,-37.82,-50.43
Apartment,Senglea,3.0,5,3,3.0,2.0,139.0,0.0,6.0,0.0,425000,745000,489000.0,950,1500,1233.33,122250.0,366750.0,21061.67,1755.14,61.67,61.67,123.33,-9221.7,-768.48,-0.08,-13.26,-39.77,-53.03
Penthouse,Siggiewi,3.0,14,13,2.0,2.0,116.5,0.0,45.0,0.0,332000,829000,506000.0,900,3000,1269.23,126500.0,379500.0,21793.88,1816.16,63.46,63.46,126.92,-9609.27,-800.77,-0.08,-13.16,-39.49,-52.66
Penthouse,Lija,1.0,4,3,1.0,1.0,53.0,0.0,57.0,0.0,266000,359000,297750.0,600,900,750.0,74437.5,223312.5,12824.36,1068.7,37.5,37.5,75.0,-5624.36,-468.7,-0.08,-13.23,-39.7,-52.94
House of Character,Zebbug,2.0,8,3,1.5,2.0,152.5,0.0,17.5,0.0,319000,750000,511500.0,1000,1500,1233.33,127875.0,383625.0,22030.77,1835.9,61.67,61.67,123.33,-10190.8,-849.23,-0.08,-12.55,-37.64,-50.19
Maisonette,Dingli,3.0,8,8,2.0,2.0,130.0,0.0,60.0,0.0,318000,476500,402937.5,790,1400,1005.0,100734.38,302203.12,17354.88,1446.24,50.25,50.25,100.5,-7706.88,-642.24,-0.08,-13.07,-39.21,-52.28
Maisonette,Cospicua,2.0,10,9,1.0,1.0,80.0,0.0,9.0,0.0,190000,414000,274900.0,150,900,661.11,68725.0,206175.0,11840.19,986.68,33.06,33.06,66.11,-5493.54,-457.79,-0.08,-12.51,-37.53,-50.04
Penthouse,Xemxija,2.0,13,17,2.0,2.0,88.0,0.0,27.0,0.0,430000,795000,629307.69,750,2100,1432.35,157326.92,471980.77,27104.85,2258.74,71.62,71.62,143.23,-13354.29,-1112.86,-0.08,-11.78,-35.34,-47.12
Penthouse,Xemxija,3.0,4,15,2.0,2.0,121.0,0.0,49.0,0.0,514000,650000,579750.0,700,2500,1433.33,144937.5,434812.5,24970.36,2080.86,71.67,71.67,143.33,-11210.39,-934.2,-0.08,-12.93,-38.79,-51.72
Penthouse,Xghajra,3.0,3,3,2.0,2.0,89.5,0.0,75.0,0.0,361000,385000,372666.67,800,1200,933.33,93166.67,279500.0,16051.09,1337.59,46.67,46.67,93.33,-7091.12,-590.93,-0.08,-13.14,-39.42,-52.55
Penthouse,Gozo - San Lawrenz,3.0,4,3,2.5,2.0,96.0,0.0,110.0,0.0,285000,400000,358750.0,600,1250,883.33,89687.5,269062.5,15451.69,1287.64,44.17,44.17,88.33,-6971.72,-580.98,-0.08,-12.86,-38.59,-51.46
House of Character,Zejtun,2.0,10,3,1.5,2.0,100.0,0.0,10.0,0.0,244000,446000,333800.0,700,850,783.33,83450.0,250350.0,14377.07,1198.09,39.17,39.17,78.33,-6857.1,-571.42,-0.08,-12.17,-36.51,-48.68
Penthouse,Zejtun,1.0,5,4,1.0,1.0,,,,,250000,318000,286500.0,700,700,700.0,71625.0,214875.0,12339.81,1028.32,35.0,35.0,70.0,-5619.81,-468.32,-0.08,-12.75,-38.24,-50.98
Penthouse,Qawra,3.0,65,46,2.0,2.0,128.5,0.0,47.5,0.0,248000,750000,454146.15,600,1900,1093.48,113536.54,340609.61,19560.48,1630.04,54.67,54.67,109.35,-9063.08,-755.26,-0.08,-12.53,-37.58,-50.11
Apartment,Dingli,2.0,13,9,2.0,2.0,92.0,0.0,8.0,0.0,235000,442000,323484.62,700,900,777.78,80871.16,242613.46,13932.77,1161.06,38.89,38.89,77.78,-6466.09,-538.84,-0.08,-12.51,-37.52,-50.03
Penthouse,Gozo - Ghajnsielem,2.0,16,15,2.0,2.0,94.0,0.0,31.0,0.0,200000,530000,316500.0,500,1200,733.33,79125.0,237375.0,13631.94,1136.0,36.67,36.67,73.33,-6591.97,-549.33,-0.08,-12.0,-36.01,-48.01
Terraced House,Attard,3.0,44,32,3.0,2.0,72.0,0.0,38.0,0.0,600000,798000,690022.73,1000,3000,1729.69,172505.68,517517.05,29719.9,2476.66,86.48,86.48,172.97,-13114.88,-1092.91,-0.08,-13.15,-39.46,-52.61
Maisonette,Rabat,3.0,16,17,2.0,2.0,168.0,0.0,24.0,0.0,310000,635000,469125.0,600,1700,1152.94,117281.25,351843.75,20205.64,1683.8,57.65,57.65,115.29,-9137.41,-761.45,-0.08,-12.84,-38.51,-51.34
Maisonette,Zebbug,1.0,3,4,1.0,1.0,,0.0,,0.0,235000,334000,298000.0,580,900,705.0,74500.0,223500.0,12835.13,1069.59,35.25,35.25,70.5,-6067.13,-505.59,-0.08,-12.28,-36.84,-49.12
Penthouse,Gharghur,1.0,3,8,2.0,1.0,77.0,0.0,31.0,0.0,380000,430000,406333.33,600,1250,912.5,101583.33,304750.0,17501.14,1458.43,45.62,45.62,91.25,-8741.14,-728.43,-0.09,-11.62,-34.86,-46.49
Penthouse,Mgarr,3.0,28,20,2.0,2.0,116.5,0.0,29.0,0.0,375000,740000,554428.57,700,1700,1169.75,138607.14,415821.43,23879.74,1989.98,58.49,58.49,116.98,-12650.14,-1054.18,-0.09,-10.96,-32.87,-43.83
Townhouse,Naxxar,2.0,3,4,2.0,1.0,,0.0,,0.0,300000,455000,373333.33,500,1000,787.5,93333.33,280000.0,16079.8,1339.98,39.38,39.38,78.75,-8519.8,-709.98,-0.09,-10.95,-32.86,-43.82
Farmhouse,Gozo - Xewkija,3.0,3,4,3.5,2.5,126.5,0.0,109.5,0.0,230000,680000,436000.0,200,1500,987.5,109000.0,327000.0,18778.91,1564.91,49.38,49.38,98.75,-9298.91,-774.91,-0.09,-11.72,-35.17,-46.89
Penthouse,Gozo - Sannat,3.0,14,5,2.0,2.0,118.5,0.0,40.0,0.0,198000,442000,337642.86,600,800,760.0,84410.72,253232.14,14542.58,1211.88,38.0,38.0,76.0,-7246.58,-603.88,-0.09,-11.65,-34.95,-46.59
Penthouse,Gozo - Xaghra,3.0,23,4,2.0,2.0,115.0,0.0,56.0,0.0,250000,500000,351913.04,700,900,762.5,87978.26,263934.78,15157.21,1263.1,38.12,38.12,76.25,-7837.21,-653.1,-0.09,-11.23,-33.68,-44.9
Farmhouse,Gozo - Sannat,3.0,3,3,2.0,3.0,,0.0,,0.0,720000,760000,736666.67,1200,2000,1533.33,184166.67,552500.0,31728.9,2644.07,76.67,76.67,153.33,-17008.93,-1417.41,-0.09,-10.83,-32.48,-43.31
Terraced House,Sliema,2.0,3,5,3.0,3.0,120.0,0.0,14.0,0.0,425000,745000,603333.33,1100,1500,1370.0,150833.33,452500.0,25986.11,2165.51,68.5,68.5,137.0,-12834.11,-1069.51,-0.09,-11.75,-35.26,-47.01
Terraced House,Gozo - Victoria,3.0,22,10,2.0,2.0,195.0,0.0,42.0,0.0,313000,620000,386272.73,650,1400,835.3,96568.18,289704.55,16637.12,1386.43,41.76,41.76,83.53,-8618.24,-718.19,-0.09,-11.21,-33.62,-44.82
House of Character,Mosta,2.0,4,4,1.5,2.5,118.0,35.0,40.0,17.5,314000,650000,488500.0,700,1800,1087.5,122125.0,366375.0,21040.14,1753.34,54.38,54.38,108.75,-10600.14,-883.34,-0.09,-11.52,-34.56,-46.08
Terraced House,Birkirkara,3.0,7,26,2.0,2.0,176.5,0.0,27.5,0.0,425000,780000,595571.43,600,2400,1244.81,148892.86,446678.57,25651.8,2137.65,62.24,62.24,124.48,-13701.62,-1141.8,-0.09,-10.87,-32.6,-43.47
House of Character,Gozo - Victoria,3.0,4,6,2.0,2.0,220.0,0.0,125.0,0.0,380000,480000,428750.0,750,1300,958.33,107187.5,321562.5,18466.65,1538.89,47.92,47.92,95.83,-9266.68,-772.22,-0.09,-11.57,-34.7,-46.27
Terraced House,Mosta,3.0,13,23,3.0,2.0,,0.0,,0.0,450000,700000,637653.85,800,2400,1323.91,159413.46,478240.39,27464.33,2288.69,66.2,66.2,132.39,-14754.79,-1229.57,-0.09,-10.8,-32.41,-43.22
House of Character,Gozo - Qala,3.0,3,5,3.0,3.0,144.0,0.0,95.0,0.0,220000,575000,456666.67,800,1100,970.0,114166.67,342500.0,19669.05,1639.09,48.5,48.5,97.0,-10357.05,-863.09,-0.09,-11.02,-33.07,-44.09
House of Character,Gozo - Xaghra,4.0,3,13,4.0,4.0,190.0,0.0,63.0,0.0,560000,750000,653333.33,1000,1950,1407.69,163333.33,490000.0,28139.66,2344.97,70.38,70.38,140.77,-14625.83,-1218.82,-0.09,-11.17,-33.5,-44.67
Terraced House,Qormi,3.0,13,4,2.0,2.0,220.0,0.0,22.0,0.0,435000,700000,576025.77,1100,1200,1175.0,144006.44,432019.33,24809.95,2067.5,58.75,58.75,117.5,-13529.95,-1127.5,-0.09,-10.64,-31.93,-42.57
House of Character,Zurrieq,3.0,6,3,2.0,2.0,161.0,0.0,54.0,0.0,480000,775000,689166.67,1500,1500,1500.0,172291.67,516875.0,29683.03,2473.59,75.0,75.0,150.0,-15283.03,-1273.59,-0.09,-11.27,-33.82,-45.09
Terraced House,Tarxien,3.0,11,5,2.0,2.0,230.5,,105.0,,370000,716000,549772.73,950,1500,1180.0,137443.18,412329.55,23679.21,1973.27,59.0,59.0,118.0,-12351.21,-1029.27,-0.09,-11.13,-33.38,-44.51
Terraced House,Zabbar,3.0,15,5,2.0,2.0,115.0,0.0,20.0,0.0,408000,800000,586166.67,1000,1500,1240.0,146541.67,439625.0,25246.73,2103.89,62.0,62.0,124.0,-13342.73,-1111.89,-0.09,-10.98,-32.95,-43.93
Maisonette,Gharghur,3.0,22,23,2.0,2.0,171.0,0.0,78.5,0.0,325000,640000,522545.45,600,2000,1134.57,130636.36,391909.09,22506.5,1875.54,56.73,56.73,113.46,-11614.63,-967.89,-0.09,-11.25,-33.74,-44.99
Maisonette,Naxxar,4.0,7,3,3.0,2.0,197.5,0.0,39.0,0.0,380000,640000,557714.29,1000,1200,1066.67,139428.57,418285.72,24021.26,2001.77,53.33,53.33,106.67,-13781.23,-1148.44,-0.1,-10.12,-30.35,-40.47
Maisonette,Gozo - Nadur,2.0,4,4,2.5,1.5,137.0,0.0,58.0,0.0,250000,390000,301500.0,475,700,562.5,75375.0,226125.0,12985.88,1082.16,28.12,28.12,56.25,-7585.88,-632.16,-0.1,-9.94,-29.81,-39.74
Penthouse,Ghaxaq,1.0,14,3,2.0,1.0,63.0,0.0,40.0,0.0,177000,371000,288357.14,450,750,566.67,72089.28,216267.86,12419.8,1034.98,28.33,28.33,56.67,-6979.77,-581.65,-0.1,-10.33,-30.98,-41.31
Townhouse,Siggiewi,3.0,16,4,2.0,2.0,150.0,0.0,21.0,0.0,351000,695000,493281.25,850,1000,912.5,123320.31,369960.94,21246.07,1770.51,45.62,45.62,91.25,-12486.07,-1040.51,-0.1,-9.88,-29.63,-39.51
House of Character,Gozo - Sannat,3.0,8,4,4.0,3.0,165.0,0.0,86.0,0.0,355000,760000,600000.0,650,1300,1087.5,150000.0,450000.0,25842.54,2153.55,54.38,54.38,108.75,-15402.54,-1283.55,-0.1,-9.74,-29.22,-38.95
