Type,Town,Bedrooms,Sale_Count,Rent_Count,Sale_Median_Bathrooms,Rent_Median_Bathrooms,Sale_Median_IntArea,Rent_Median_IntArea,Sale_Median_ExtArea,Rent_Median_ExtArea,Sale_Min_Price,Sale_Max_Price,Sale_Mean_Price,Rent_Min_Price,Rent_Max_Price,Rent_Mean_Price,Downpayment,Loan,Repayment_Year,Repayment_Monthly,Vacancy_Monthly,Repairs_Monthly,Management_Monthly,Net_Rent_Year,Net_Rent_Monthly,CoC_Return,Down_Years,Prop_Years,Total_Years
Maisonette,Mellieha,3.0,91,67,2.0,2.0,125.0,0.0,30.0,0.0,235000,525000,326901.1,600,3000,1043.88,81725.27,245175.82,14079.93,1173.33,52.19,52.19,104.39,-4058.68,-338.22,-0.05,-20.14,-60.41,-80.54
Apartment,Valletta,2.0,38,130,2.0,2.0,65.0,0.0,3.0,0.0,245000,700000,517078.95,80,6000,1684.04,129269.74,387809.21,22271.06,1855.92,84.2,84.2,168.4,-6104.27,-508.69,-0.05,-21.18,-63.53,-84.71
Apartment,Mosta,3.0,536,373,2.0,2.0,115.0,0.0,17.0,0.0,209000,488000,322667.91,600,9600,1049.05,80666.98,242000.93,13897.6,1158.13,52.45,52.45,104.9,-3826.72,-318.89,-0.05,-21.08,-63.24,-84.32
Townhouse,Zejtun,3.0,17,7,2.0,3.0,105.5,0.0,25.5,0.0,235000,750000,539058.76,1100,2000,1557.14,134764.69,404294.07,23217.75,1934.81,77.86,77.86,155.71,-8269.2,-689.1,-0.06,-16.3,-48.89,-65.19
Townhouse,Zabbar,2.0,11,3,2.0,2.0,95.0,0.0,8.0,0.0,189000,575000,327636.36,650,1500,966.67,81909.09,245727.27,14111.59,1175.97,48.33,48.33,96.67,-4831.56,-402.63,-0.06,-16.95,-50.86,-67.81
Penthouse,Mosta,1.0,23,21,1.0,1.0,64.0,0.0,32.0,0.0,195000,352000,269913.04,600,1200,790.95,67478.26,202434.78,11625.4,968.78,39.55,39.55,79.1,-4032.28,-336.02,-0.06,-16.73,-50.2,-66.94
Penthouse,Qrendi,3.0,11,4,2.0,2.0,122.0,0.0,20.0,0.0,286000,446000,345363.64,900,1100,1000.0,86340.91,259022.73,14875.12,1239.59,50.0,50.0,100.0,-5275.12,-439.59,-0.06,-16.37,-49.1,-65.47
Penthouse,Mellieha,3.0,60,47,2.0,2.0,151.0,0.0,48.5,0.0,310000,828000,571266.67,750,6120,1598.04,142816.67,428450.0,24604.97,2050.41,79.9,79.9,159.8,-9263.79,-771.98,-0.06,-15.42,-46.25,-61.67
Penthouse,Zurrieq,3.0,23,18,2.0,2.0,121.0,0.0,35.0,0.0,250000,510000,373173.91,700,1500,1065.0,93293.48,279880.43,16072.94,1339.41,53.25,53.25,106.5,-5848.94,-487.41,-0.06,-15.95,-47.85,-63.8
Townhouse,Sliema,2.0,20,80,2.0,2.0,127.5,0.0,43.0,0.0,298000,745000,477527.5,700,3500,1443.75,119381.88,358145.62,20567.54,1713.96,72.19,72.19,144.38,-6707.54,-558.96,-0.06,-17.8,-53.39,-71.19
