Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,Ben Estate,BLAPT120074,Paola,Apartment,,,,2,1,,,,750
False,Ben Estate,BLAPT120072,Paola,Apartment,,,,2,1,,,,750
False,Ben Estate,BLEGFM120056,Msida,Elevated Ground Floor Maisonette,,,,3,2,,,,1250
False,Ben Estate,BLOFF120044,Hamrun,Offices,,,,,,275.00,,,34375
False,Ben Estate,BLAPT120018,Sliema,Apartment,,,,3,2,1.00,,,1200
False,Ben Estate,BLSDV120010,St. Julians,Semi Detached Villa,,,,3,2,1.00,,,2000
False,Ben Estate,BLAPT120008,Sliema,Apartment,,,,1,1,1.00,,,750
False,Ben Estate,BLMSN119998,Bidnija,Maisonette,,,,3,2,,,,800
False,Ben Estate,BLAPT119960,Zejtun,Apartment,,,,2,2,95.00,,,850
False,Ben Estate,BLSAP119958,Sliema,Studio Apartment,,,,1,1,50.00,,,500
False,Ben Estate,BLAPT119956,Sliema,Apartment,,,,2,1,,,,1300
False,Ben Estate,BLOFF119954,Pieta,Offices,,,,,,,,,600
False,Ben Estate,BLAPT119952,Msida,Apartment,,,,4,3,1.00,,,1200
False,Ben Estate,BLMSN119914,Senglea,Maisonette,,,,2,1,,,,750
False,Ben Estate,BLAPT119904,Luqa,Apartment,,,,2,2,,,,750
False,Ben Estate,BLMSN119902,Valletta,Maisonette,,,,1,1,70.00,,,600
False,Ben Estate,BLAPT119900,Sliema,Apartment,,,,3,3,180.00,,,1500
False,Ben Estate,BLSAP119897,St. Julians,Studio Apartment,,,,1,1,1.00,,,900
False,Ben Estate,BLAPT119887,Sliema,Apartment,,,,2,1,,,,900
False,Ben Estate,BLAPT119873,Sliema,Apartment,,,,3,3,1.00,,,2500
False,Ben Estate,BLAPT119869,Birzebbuga,Apartment,,,,2,1,,,,550
False,Ben Estate,BLPTH119825,Gozo - Marsalforn,Penthouse,,,,2,2,120.00,,,950
False,Ben Estate,BLAPT119823,Gozo - Marsalforn,Apartment,,,,2,2,110.00,,,750
False,Ben Estate,BLAPT119821,Gozo - Marsalforn,Apartment,,,,2,2,110.00,,,750
