Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
TRUE,Belair,132756,Ibrag,Apartment,,,2,3,136,,,350000
TRUE,Belair,503772,Swieqi,Apartment,,,3,3,106,,,350000
TRUE,Belair,504079,Valletta,Apartment,,,2,2,81,,,350000
TRUE,Belair,503669,Sliema,Apartment,,,2,2,88,,,350000
TRUE,Belair,504723,Balzan,Duplex Penthouse,,,2,2,150,,,355000
TRUE,Belair,801921,Zejtun,Duplex Maisonette,,,4,3,180,,,355000
TRUE,Belair,502978,Kalkara,Penthouse,,,2,2,124,,,360000
TRUE,Belair,304895,Attard,Ground Floor Maisonette,,,3,2,145,,,361500
TRUE,Belair,137511,St Julians,Ground Floor Maisonette,,,2,2,120,,,365000
TRUE,Belair,803004,Swieqi,Penthouse,,,1,1,85,,,365000
TRUE,Belair,505145,Gharghur,Ground Floor Maisonette,,,2,2,100,,,370000
TRUE,Belair,700084,Balzan,Apartment,,,3,2,135,,,375000
TRUE,Belair,134352,Mellieha,Penthouse,,,2,2,132,,,375000
TRUE,Belair,504826,Ibrag,Apartment,,,3,3,140,,,380000
TRUE,Belair,131051,Msida,Apartment,,,2,1,80,,,382000
TRUE,Belair,803222,Lija,House of Character,,,1,1,110,,,383000
TRUE,Belair,137597,Balzan,First Floor (+) Maisonette,,,3,2,140,,,390000
TRUE,Belair,701588,Sliema,Apartment,,,3,2,124,,,390000
TRUE,Belair,701867,Naxxar,Terraced House,,,1,1,55,,,393000
TRUE,Belair,307937,Mosta,Penthouse,,,3,2,136,,,409000
TRUE,Belair,306857,Swieqi,Penthouse,,,2,2,161,,,410000
TRUE,Belair,307586,Pembroke,Apartment,,,3,3,120,,,415000
TRUE,Belair,137707,San Gwann,Penthouse,,,3,2,147,,,420000
TRUE,Belair,701619,Balzan,Apartment,,,3,2,174,,,420000
TRUE,Belair,137382,Mosta,Ground Floor Maisonette,,,3,3,200,,,425000
TRUE,Belair,307929,Mosta,First Floor (+) Maisonette,,,3,2,250,,,425000
TRUE,Belair,504470,Mellieha,Apartment Block,,,2,1,97,,,425000
TRUE,Belair,701680,"Madliena, Madliena Village",Apartment,,,2,1,99,,,425000
TRUE,Belair,503745,Zebbug,Penthouse,,,2,3,155,,,425000
TRUE,Belair,701620,Balzan,Apartment,,,3,2,174,,,430000
TRUE,Belair,304656,Sliema,Apartment,,,3,2,135,,,430000
TRUE,Belair,304655,Sliema,Apartment,,,3,2,135,,,430000
TRUE,Belair,801187,Naxxar,Townhouse,,,3,2,100,,,445000
TRUE,Belair,700580,San Gwann,Apartment,,,3,2,157,,,445000
TRUE,Belair,505111,Manikata,Penthouse,,,1,1,120,,,449000
TRUE,Belair,307644,Naxxar,Penthouse,,,3,2,180,,,450000
TRUE,Belair,702015,Sliema,Apartment,,,3,2,170,,,450000
TRUE,Belair,307587,Pembroke,Apartment,,,3,3,120,,,450000
TRUE,Belair,504973,Sliema,Apartment,,,2,2,120,,,450000
TRUE,Belair,304884,Gzira,Penthouse,,,2,2,148,,,450000
TRUE,Belair,136058,Zabbar,Penthouse,,,2,2,270,,,455000
TRUE,Belair,304213,Zebbug,Penthouse,,,3,2,138,,,456000
TRUE,Belair,800107,St Julians,Elevated Ground Floor Maisonette,,,3,2,133,,,459000
TRUE,Belair,504068,San Gwann,Penthouse,,,2,3,167,,,465000
