Type,Province,Town,Bedrooms,Stage,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Penthouse,Central,Naxxar,3.0,Unclassified,3,2.0,157.5,51.0,380000.0,670000.0,650000.0
Apartment Duplex,East,Sliema,3.0,Furnished,3,2.0,,,345000.0,851000.0,650000.0
Maisonette Semi-Detached,East,Swieqi,3.0,Unclassified,2,2.0,163.5,41.5,495000.0,800000.0,647500.0
Townhouse,South,Zejtun,4.0,Furnished,3,2.0,190.0,67.0,325000.0,1050000.0,640000.0
Townhouse,South,Zejtun,4.0,Unclassified,4,2.0,170.0,45.0,450000.0,900000.0,640000.0
Townhouse,South,Xghajra,3.0,Finished,2,1.0,,,532000.0,745000.0,638500.0
Terraced House,Central,Birkirkara,3.0,Furnished,3,2.0,180.0,10.0,425000.0,648000.0,638000.0
Terraced House,West,Zebbug,3.0,Unclassified,3,1.0,102.5,55.0,638000.0,650000.0,638000.0
Penthouse,North,Mellieha,3.0,Finished,15,2.0,140.0,27.0,360000.0,775000.0,637500.0
Terraced House,South,Luqa,3.0,Furnished,4,2.0,190.5,32.5,585000.0,850000.0,637500.0
Townhouse,South,Qrendi,3.0,Finished,2,2.0,176.0,151.0,585000.0,689000.0,637000.0
Terraced House,South,Luqa,3.0,Unclassified,4,2.0,233.0,37.5,520000.0,690000.0,636500.0
Terraced House,South,Zabbar,3.0,Unclassified,11,2.0,200.0,70.0,408000.0,900000.0,636000.0
Townhouse,Gozo,Gozo - Xewkija,3.0,Unclassified,2,1.5,246.5,132.5,425000.0,847000.0,636000.0
Terraced House,South,Tarxien,3.0,Unclassified,4,2.0,260.0,60.0,370000.0,691000.0,635200.0
Penthouse,North,Mellieha,3.0,Plan,18,2.0,168.5,47.5,350000.0,755000.0,635000.0
Terraced House,West,Zebbug,3.0,Furnished,4,2.0,224.0,40.0,500000.0,640000.0,635000.0
House of Character,South,Qrendi,3.0,Furnished,3,2.0,160.0,35.0,447000.0,650000.0,635000.0
Penthouse,North,Mellieha,3.0,Shell,4,2.0,180.0,50.0,310000.0,650000.0,629000.0
Townhouse Unconverted,West,Rabat,3.0,Unclassified,2,2.0,192.0,25.0,590000.0,660000.0,625000.0
Penthouse,East,Swieqi,3.0,Unclassified,3,3.0,137.5,47.5,610000.0,625000.0,625000.0
Apartment Duplex,East,Saint Julian's,2.0,Plan,2,2.0,69.0,12.0,550000.0,700000.0,625000.0
Farmhouse,Gozo,Gozo - Xaghra,5.0,Shell,2,6.0,460.0,236.5,595000.0,650000.0,622500.0
Townhouse,South,Zejtun,2.0,Finished,2,2.0,,,285000.0,960000.0,622500.0
Penthouse Duplex,East,Sliema,3.0,Unclassified,2,3.0,134.0,119.0,620000.0,620000.0,620000.0
House of Character,East,Gharghur,3.0,Unclassified,2,3.0,,,499000.0,740000.0,619500.0
Penthouse Duplex,East,Sliema,3.0,Furnished,4,2.5,150.0,30.0,540000.0,690000.0,615000.0
Penthouse Duplex,East,Sliema,3.0,Finished,6,2.0,120.0,29.0,540000.0,1100000.0,614500.0
Townhouse,Central,Birkirkara,4.0,Furnished,4,2.0,246.0,34.0,393000.0,980000.0,614000.0
Apartment Duplex,East,Swieqi,3.0,Unclassified,2,2.5,,,540000.0,680000.0,610000.0
Farmhouse,Gozo,Gozo - Xaghra,3.0,Furnished,4,3.0,152.0,96.0,560000.0,690000.0,607500.0
Terraced House,Central,Hamrun,4.0,Unclassified,2,2.0,170.0,20.0,410000.0,798000.0,604000.0
Terraced House,West,Zebbug,4.0,Furnished,2,2.0,270.0,80.0,570000.0,635000.0,602500.0
Terraced House,West,Mtarfa,3.0,Shell,6,3.0,173.0,56.0,600000.0,600000.0,600000.0
Terraced House,South,Ghaxaq,3.0,Finished,3,3.0,225.0,22.0,600000.0,600000.0,600000.0
Townhouse,South,Zurrieq,2.0,Unclassified,2,1.0,100.0,22.0,403000.0,795000.0,599000.0
House of Character,Gozo,Gozo - Ghasri,5.0,Shell,2,6.0,235.5,206.0,598000.0,598000.0,598000.0
Plot,East,San Gwann,3.0,Furnished,2,2.0,,,455000.0,740000.0,597500.0
Terraced House,South,Ghaxaq,3.0,Unclassified,4,2.0,235.0,30.0,572000.0,600000.0,597500.0
Townhouse,South,Senglea,2.0,Finished,6,2.0,147.5,40.0,220000.0,935000.0,596500.0
House of Character,West,Siggiewi,3.0,Furnished,17,2.0,230.0,78.5,350000.0,985000.0,595000.0
House of Character,West,Siggiewi,3.0,Unclassified,3,2.0,194.0,87.0,532000.0,715000.0,595000.0
Townhouse,South,Birgu,4.0,Furnished,5,3.0,180.0,20.0,450000.0,699000.0,595000.0
Townhouse,South,Birgu,2.0,Furnished,2,2.5,,,550000.0,640000.0,595000.0
Townhouse,Central,Naxxar,4.0,Finished,3,3.0,,,595000.0,633000.0,595000.0
Penthouse,East,Sliema,2.0,Finished,12,2.0,100.0,50.0,350000.0,750000.0,595000.0
Townhouse,Central,Naxxar,3.0,Furnished,3,2.0,238.5,,450000.0,640000.0,595000.0
Apartment,East,Floriana,2.0,Unclassified,5,1.0,0.0,0.0,294000.0,600000.0,595000.0
Penthouse Duplex,East,Sliema,2.0,Plan,2,1.5,87.0,55.5,395000.0,795000.0,595000.0
Apartment,East,Madliena,2.0,Finished,2,2.0,120.0,50.0,585000.0,595000.0,590000.0
Townhouse,South,Luqa,3.0,Unclassified,2,2.5,260.0,20.0,480000.0,700000.0,590000.0
Townhouse,West,Siggiewi,4.0,Furnished,2,1.5,,,436000.0,742000.0,589000.0
Penthouse Duplex,East,Saint Julian's,3.0,Plan,2,2.0,118.0,75.0,585000.0,590000.0,587500.0
Penthouse,East,Swieqi,3.0,Plan,4,2.0,113.0,122.0,520000.0,695000.0,587500.0
Townhouse,West,Zebbug,4.0,Finished,4,2.0,160.0,30.0,532000.0,795000.0,586500.0
Townhouse,Central,Santa Venera,4.0,Unclassified,2,2.5,370.0,30.0,370000.0,800000.0,585000.0
Terraced House,North,Mgarr,3.0,Furnished,3,2.0,180.0,80.0,585000.0,585000.0,585000.0
Townhouse,Central,Balzan,3.0,Furnished,2,1.5,250.0,11.0,375000.0,795000.0,585000.0
House of Character,East,Gharghur,3.0,Furnished,11,2.0,195.0,29.0,465000.0,885000.0,585000.0
Terraced House,South,Zejtun,3.0,Plan,3,2.0,130.0,20.0,480000.0,635000.0,585000.0
House of Character,West,Rabat,4.0,Furnished,3,2.0,230.0,120.0,475000.0,1200000.0,584000.0
Penthouse,South,Gudja,3.0,Plan,4,2.0,0.0,50.0,410000.0,583000.0,583000.0
Townhouse,West,Siggiewi,3.0,Unclassified,2,2.5,,,468000.0,695000.0,581500.0
Penthouse,East,Pembroke,3.0,Shell,5,2.0,115.0,54.0,575000.0,584500.0,581000.0
House of Character,Central,Qormi,5.0,Furnished,2,3.5,242.0,58.0,476000.0,680000.0,578000.0
House of Character,Gozo,Gozo - Xewkija,5.0,Finished,2,5.0,186.5,194.5,475000.0,680000.0,577500.0
Townhouse,West,Dingli,3.0,Unclassified,2,2.5,228.5,12.5,540000.0,615000.0,577500.0
Apartment,Gozo,Gozo - San Lawrenz,2.0,Finished,2,2.5,130.5,35.0,570000.0,580000.0,575000.0
Penthouse,East,Saint Julian's,3.0,Plan,4,2.0,97.0,38.0,525000.0,600000.0,575000.0
Townhouse,South,Senglea,3.0,Finished,5,3.0,62.0,8.0,380000.0,750000.0,574000.0
Townhouse,West,Zebbug,3.0,Finished,6,2.0,180.0,20.0,375000.0,980000.0,572500.0
Townhouse,Central,Balzan,3.0,Unclassified,2,3.5,,,350000.0,795000.0,572500.0
Penthouse,Central,Birkirkara,3.0,Unclassified,2,2.0,170.0,51.0,450000.0,690000.0,570000.0
Terraced House,South,Zabbar,3.0,Furnished,3,2.0,90.0,25.5,495000.0,570000.0,570000.0
Apartment,East,Madliena,2.0,Plan,3,2.0,,,565000.0,580000.0,565000.0
House of Character,Central,Lija,3.0,Unclassified,2,2.0,,,545000.0,585000.0,565000.0
Penthouse,West,Dingli,3.0,Plan,4,2.0,145.0,44.0,452000.0,688000.0,564500.0
House of Character,West,Siggiewi,3.0,Finished,6,2.0,,,426000.0,855000.0,563500.0
House of Character,Central,Qormi,4.0,Finished,6,2.5,300.0,123.0,350000.0,1063000.0,563500.0
Townhouse,South,Birgu,3.0,Furnished,2,3.0,,,275000.0,850000.0,562500.0
Terraced House,South,Marsaskala,3.0,Plan,2,2.0,125.0,25.0,425000.0,699000.0,562000.0
Apartment Duplex,East,Swieqi,3.0,Finished,5,3.0,131.0,30.0,560000.0,680000.0,560000.0
Penthouse Duplex,North,Saint Paul's Bay,2.0,Furnished,2,2.5,,,320000.0,800000.0,560000.0
Penthouse,South,Marsaskala,3.0,Shell,3,2.0,0.0,20.0,405000.0,690000.0,560000.0
Terraced House,Central,Birkirkara,3.0,Unclassified,3,2.0,187.5,110.0,550000.0,755000.0,559000.0
Penthouse,North,Mgarr,3.0,Furnished,2,2.0,111.0,28.0,500000.0,615000.0,557500.0
Penthouse,West,Rabat,3.0,Finished,10,2.0,104.0,33.5,420000.0,690000.0,555750.0
Apartment,North,Mgarr,4.0,Unclassified,3,5.0,,,534000.0,574500.0,554500.0
Terraced House,South,Fgura,4.0,Furnished,2,3.0,,,553000.0,553000.0,553000.0
Apartment,North,Xemxija,4.0,Finished,3,3.0,,,250000.0,584500.0,553000.0
Townhouse,North,Saint Paul's Bay,2.0,Unclassified,2,2.0,140.0,10.0,550000.0,555000.0,552500.0
Townhouse,South,Kalkara,1.0,Furnished,2,2.0,70.0,335.0,255000.0,850000.0,552500.0
Apartment,North,Mgarr,4.0,Plan,6,2.0,,,527000.0,574500.0,550750.0
House of Character,West,Zebbug,2.0,Finished,2,2.0,200.0,,550000.0,550000.0,550000.0
Penthouse Duplex,East,Saint Julian's,3.0,Finished,4,2.0,,,475000.0,1250000.0,550000.0
Penthouse Duplex,East,Sliema,2.0,Finished,11,2.0,113.5,39.0,276500.0,1300000.0,550000.0
House of Character,West,Zebbug,2.0,Furnished,7,1.0,120.0,35.0,280000.0,750000.0,550000.0
Penthouse,Central,Attard,2.0,Shell,5,2.0,123.0,75.0,340000.0,548000.0,548000.0
Penthouse,North,Xemxija,2.0,Finished,2,2.0,88.0,27.0,350000.0,745000.0,547500.0
House of Character,South,Senglea,3.0,Furnished,4,2.0,146.0,30.0,420000.0,695000.0,547000.0
Townhouse,South,Zejtun,3.0,Unclassified,8,2.0,124.0,20.0,235000.0,750000.0,545000.0
House of Character,Central,Qormi,2.0,Furnished,5,2.0,300.0,36.0,275000.0,797000.0,545000.0
House of Character,West,Siggiewi,2.0,Furnished,3,3.0,115.0,32.0,350000.0,1200000.0,545000.0
Townhouse,South,Birzebbuga,1.0,Furnished,2,1.5,,,186000.0,900000.0,543000.0
Penthouse,North,Mellieha,3.0,Furnished,4,2.0,0.0,41.0,375000.0,595000.0,542500.0
Townhouse,South,Kirkop,4.0,Furnished,2,2.5,191.0,100.0,542000.0,542000.0,542000.0
Farmhouse,Gozo,Gozo - Xewkija,3.0,Unclassified,2,3.5,137.5,139.5,398000.0,680000.0,539000.0
House of Character,Central,Naxxar,3.0,Furnished,6,3.0,,,380000.0,635000.0,537500.0
Penthouse Duplex,South,Marsaskala,3.0,Furnished,2,3.0,,,375000.0,699000.0,537000.0
Penthouse,East,Saint Julian's,1.0,Furnished,2,1.0,,,383000.0,690000.0,536500.0
Townhouse,West,Rabat,3.0,Unclassified,7,2.0,170.0,12.0,315000.0,1100000.0,535000.0
Penthouse,East,Swieqi,1.0,Plan,3,1.0,,,275000.0,545000.0,535000.0
Apartment,East,Saint Julian's,1.0,Furnished,17,1.0,66.0,8.0,175000.0,600000.0,535000.0
House of Character,Central,Attard,3.0,Furnished,3,2.0,161.5,32.0,535000.0,535000.0,535000.0
Townhouse,South,Safi,2.0,Unclassified,3,1.0,132.0,22.0,430000.0,870000.0,535000.0
House of Character,West,Zebbug,3.0,Finished,3,2.0,,,530000.0,820000.0,535000.0
House of Character,South,Luqa,4.0,Furnished,3,2.0,157.0,42.0,530000.0,595000.0,535000.0
Terraced House,South,Kalkara,3.0,Unclassified,2,2.0,,,532000.0,532000.0,532000.0
Terraced House,South,Zurrieq,3.0,Furnished,3,2.0,177.0,26.0,420000.0,535000.0,532000.0
House of Character,Central,Qormi,4.0,Unclassified,3,2.0,220.0,80.0,372000.0,655000.0,532000.0
Townhouse,South,Birgu,3.0,Finished,3,3.0,145.0,5.0,450000.0,905000.0,532000.0
Townhouse,South,Gudja,3.0,Furnished,5,1.0,181.0,70.0,370000.0,950000.0,532000.0
Townhouse,South,Birzebbuga,3.0,Furnished,4,3.0,210.0,40.0,320000.0,691000.0,531500.0
Penthouse Duplex,East,Bahar Ic-Caghaq,2.0,Shell,2,3.0,90.0,44.0,531000.0,531500.0,531250.0
Farmhouse,South,Safi,3.0,Plan,2,2.0,175.0,43.0,425000.0,637000.0,531000.0
Townhouse,South,Qrendi,3.0,Unclassified,2,2.0,80.0,10.0,530000.0,532000.0,531000.0
Townhouse,South,Xghajra,3.0,Unclassified,2,1.0,100.0,60.0,530000.0,530000.0,530000.0
Townhouse,South,Zejtun,3.0,Furnished,6,2.0,111.0,68.0,287000.0,750000.0,530000.0
Penthouse,South,Marsaskala,4.0,Plan,2,3.0,75.0,30.5,530000.0,530000.0,530000.0
Townhouse,South,Luqa,3.0,Furnished,3,2.0,160.0,40.0,480000.0,530000.0,530000.0
Townhouse,West,Rabat,3.0,Furnished,9,2.0,200.0,26.0,448000.0,850500.0,529000.0
Terraced House,Central,Qormi,3.0,Finished,5,2.0,,,435000.0,637000.0,529000.0
Townhouse,South,Birzebbuga,2.0,Finished,2,2.0,,,255000.0,797000.0,526000.0
Penthouse,West,Siggiewi,3.0,Unclassified,4,2.0,133.0,39.0,445000.0,535000.0,526000.0
Penthouse,East,Saint Julian's,3.0,Furnished,3,2.0,117.0,36.0,525000.0,590000.0,525000.0
Townhouse,South,Ghaxaq,3.0,Furnished,6,2.0,149.5,79.5,219000.0,617000.0,525000.0
Apartment,East,Sliema,4.0,Unclassified,9,2.0,153.0,13.0,405000.0,595000.0,525000.0
Maisonette Duplex,East,Swieqi,3.0,Finished,3,3.0,,,495000.0,595000.0,525000.0
House of Character,South,Zejtun,4.0,Furnished,3,2.0,370.0,165.0,399000.0,956000.0,521000.0
House of Character,South,Zejtun,3.0,Finished,7,3.0,93.0,12.0,350000.0,980000.0,520000.0
Penthouse,West,Siggiewi,3.0,Finished,6,2.0,0.0,44.0,415000.0,525000.0,520000.0
Townhouse,Central,Birkirkara,5.0,Furnished,2,4.0,,,479000.0,560000.0,519500.0
Apartment,East,Gzira,4.0,Unclassified,2,2.0,125.0,15.0,460000.0,575000.0,517500.0
Penthouse,East,Swieqi,2.0,Unclassified,4,2.0,115.0,35.0,399000.0,635000.0,517500.0
Apartment,East,Bahar Ic-Caghaq,1.0,Finished,2,2.0,100.0,100.0,480000.0,550000.0,515000.0
Townhouse,West,Zebbug,3.0,Plan,3,2.0,154.0,75.0,470000.0,905000.0,510000.0
Townhouse,Central,Lija,3.0,Furnished,5,2.0,130.0,10.0,423000.0,585000.0,510000.0
Palazzo,South,Cospicua,3.0,Furnished,2,1.5,,,465000.0,550000.0,507500.0
Apartment,East,Sliema,4.0,Furnished,2,,145.0,20.0,490000.0,525000.0,507500.0
Terraced House,South,Marsa,3.0,Unclassified,2,1.5,235.0,97.5,320000.0,691000.0,505500.0
Penthouse,Central,Balzan,3.0,Finished,14,2.0,137.5,25.0,405000.0,798000.0,505000.0
Townhouse,West,Zebbug,4.0,Unclassified,4,2.5,250.0,97.0,479000.0,850000.0,505000.0
Townhouse,South,Luqa,3.0,Finished,2,1.0,,,480000.0,530000.0,505000.0
Townhouse,Central,Hamrun,3.0,Plan,2,3.0,,,310000.0,695000.0,502500.0
Townhouse,South,Cospicua,4.0,Furnished,10,3.0,103.0,23.0,325000.0,990000.0,501500.0
Penthouse Duplex,Central,Attard,3.0,Finished,2,2.0,,,490000.0,511000.0,500500.0
Plot,Central,Birkirkara,3.0,Plan,2,,,,425000.0,575000.0,500000.0
Penthouse Duplex,Central,Attard,3.0,Shell,4,2.0,120.0,60.0,489000.0,510000.0,500000.0
Penthouse,East,Sliema,2.0,Furnished,6,2.0,,,350000.0,750000.0,500000.0
Townhouse,South,Senglea,2.0,Furnished,7,2.0,176.0,30.0,240000.0,685000.0,500000.0
Penthouse,Gozo,Gozo - Xaghra,3.0,Finished,2,2.5,116.0,56.0,500000.0,500000.0,500000.0
Townhouse,West,Siggiewi,3.0,Furnished,9,2.0,170.0,21.0,425500.0,790000.0,499000.0
Maisonette Duplex,East,Valletta,1.0,Furnished,2,1.0,60.0,5.0,395000.0,600000.0,497500.0
Townhouse,East,Sliema,2.0,Furnished,6,2.0,127.5,20.0,388000.0,691000.0,497500.0
House of Character,Central,Mosta,2.0,Furnished,3,1.5,95.0,68.0,314000.0,495000.0,495000.0
Penthouse,North,Saint Paul's Bay,3.0,Furnished,4,2.0,111.0,51.0,475000.0,510000.0,495000.0
Penthouse Duplex,Central,Balzan,3.0,Plan,2,1.0,127.0,25.0,495000.0,495000.0,495000.0
Maisonette Duplex,East,Gharghur,3.0,Unclassified,2,3.0,139.0,43.0,490000.0,500000.0,495000.0
Penthouse,Central,Attard,3.0,Unclassified,3,2.0,145.0,32.0,440000.0,500000.0,495000.0
Townhouse,West,Zebbug,3.0,Shell,2,3.5,,,495000.0,495000.0,495000.0
Penthouse,North,Saint Paul's Bay,3.0,Unclassified,4,2.0,123.5,46.0,360000.0,530000.0,494500.0
Maisonette Duplex,East,Swieqi,3.0,Furnished,2,2.5,,,460000.0,527000.0,493500.0
Apartment,East,Saint Julian's,4.0,Furnished,2,2.5,180.0,100.0,490000.0,495000.0,492500.0
Apartment,East,Valletta,3.0,Finished,4,2.0,,,305000.0,495000.0,492500.0
Apartment,North,Manikata,3.0,Finished,9,2.0,90.0,6.0,298000.0,585000.0,490000.0
Apartment,East,Valletta,2.0,Unclassified,7,1.0,90.0,63.5,475000.0,600000.0,490000.0
Apartment,East,Gzira,4.0,Furnished,2,2.0,184.0,36.0,490000.0,490000.0,490000.0
Apartment,East,Madliena,3.0,Furnished,2,2.0,123.0,5.0,425000.0,550000.0,487500.0
Penthouse,East,Saint Julian's,3.0,Shell,2,3.0,,,285000.0,690000.0,487500.0
Penthouse,East,Saint Julian's,3.0,Finished,12,2.0,120.0,30.0,285000.0,790000.0,487500.0
Penthouse,South,Gudja,3.0,Finished,2,2.0,,,390000.0,583000.0,486500.0
Penthouse,North,Saint Paul's Bay,3.0,Finished,14,2.0,116.0,30.0,298000.0,750000.0,485000.0
Townhouse,West,Zebbug,3.0,Furnished,9,2.0,136.0,13.0,298000.0,980000.0,485000.0
Penthouse,East,Swieqi,2.0,Finished,18,2.0,92.0,35.5,385000.0,680000.0,485000.0
Penthouse,Central,Attard,3.0,Finished,17,2.0,128.0,34.0,385000.0,640000.0,485000.0
Apartment,North,Mellieha,3.0,Shell,20,2.0,141.0,19.0,260000.0,588000.0,484500.0
Penthouse,Central,Attard,3.0,Plan,4,2.0,150.0,35.0,475000.0,510000.0,483000.0
Maisonette Duplex,Central,Attard,3.0,Furnished,2,3.0,165.0,81.0,480000.0,486000.0,483000.0
Penthouse,East,Gharghur,2.0,Unclassified,2,2.0,,,290000.0,675000.0,482500.0
Townhouse,Central,Birkirkara,4.0,Finished,2,3.0,,,270000.0,695000.0,482500.0
Penthouse,North,Burmarrad,3.0,Plan,6,2.0,,,301000.0,723000.0,480500.0
Townhouse,South,Senglea,4.0,Unclassified,5,3.0,245.0,11.0,446000.0,900000.0,480000.0
Penthouse,North,Mgarr,3.0,Finished,9,2.0,158.0,21.5,375000.0,500000.0,480000.0
House of Character,South,Zejtun,3.0,Furnished,15,2.0,155.5,35.5,235000.0,999000.0,480000.0
Penthouse Duplex,South,Marsaskala,3.0,Finished,8,3.0,137.5,65.0,350000.0,510000.0,480000.0
Penthouse,Central,Naxxar,3.0,Plan,2,2.5,100.0,35.0,375000.0,585000.0,480000.0
Townhouse,North,Mellieha,3.0,Unclassified,3,2.0,133.0,16.5,428000.0,630000.0,479000.0
Penthouse,West,Mtarfa,2.0,Shell,2,1.5,86.0,92.0,479000.0,479000.0,479000.0
House of Character,South,Luqa,4.0,Finished,2,2.0,220.0,130.0,478000.0,480000.0,479000.0
Apartment Duplex,East,Sliema,4.0,Finished,2,2.0,,,478000.0,480000.0,479000.0
House of Character,West,Zebbug,4.0,Furnished,5,2.0,206.0,45.0,350000.0,1200000.0,479000.0
Penthouse Duplex,Central,Birkirkara,3.0,Finished,5,2.0,157.0,75.0,255000.0,495000.0,479000.0
House of Character,Central,Qormi,3.0,Furnished,15,2.0,135.0,97.5,159000.0,900000.0,478000.0
Penthouse,South,Safi,3.0,Finished,5,2.0,139.5,34.0,470000.0,479000.0,478000.0
Penthouse,North,Mellieha,2.0,Furnished,3,2.0,,,440000.0,550000.0,478000.0
Townhouse,North,Mellieha,2.0,Furnished,2,1.0,,,320000.0,635400.0,477700.0
Terraced House,South,Fgura,3.0,Finished,2,2.0,,,425000.0,530000.0,477500.0
Terraced House,Central,Santa Venera,3.0,Unclassified,4,2.0,175.0,30.0,405000.0,745000.0,477250.0
Penthouse,Central,Swatar,3.0,Finished,5,2.0,165.0,35.0,372000.0,490000.0,475000.0
Penthouse,West,Rabat,2.0,Unclassified,2,2.0,105.0,35.0,475000.0,475000.0,475000.0
Penthouse,South,Marsaxlokk,3.0,Finished,7,2.0,115.5,55.0,350000.0,489000.0,475000.0
Penthouse,East,Sliema,1.0,Unclassified,3,1.0,77.0,50.5,350000.0,582500.0,475000.0
Penthouse,East,Sliema,2.0,Unclassified,5,2.0,90.0,30.0,399000.0,490000.0,475000.0
Apartment,East,Sliema,3.0,Unclassified,48,2.0,128.5,10.0,350000.0,580000.0,475000.0
Terraced House,South,Marsaxlokk,3.0,Plan,2,2.0,,,450000.0,500000.0,475000.0
Farmhouse,Gozo,Gozo - San Lawrenz,5.0,Shell,2,6.0,,,455000.0,485000.0,470000.0
House of Character,South,Zejtun,4.0,Unclassified,5,2.0,170.0,17.0,425000.0,1160000.0,470000.0
Penthouse,North,Mellieha,3.0,Unclassified,7,2.0,140.0,48.0,385000.0,755000.0,470000.0
Townhouse,East,Sliema,2.0,Finished,4,2.5,117.0,41.0,320000.0,550000.0,468275.0
Townhouse,South,Kalkara,2.0,Furnished,2,2.0,220.0,,186000.0,750000.0,468000.0
Penthouse,South,Zurrieq,3.0,Shell,2,1.5,,,425000.0,511000.0,468000.0
Terraced House,South,Tarxien,3.0,Furnished,2,2.0,,,425000.0,510000.0,467500.0
Apartment,East,Pieta,4.0,Furnished,4,3.0,150.0,20.0,425000.0,500000.0,467500.0
Penthouse,Central,Iklin,3.0,Unclassified,2,2.0,119.0,25.0,445000.0,487000.0,466000.0
House of Character,South,Marsaskala,2.0,Furnished,2,1.0,210.0,18.0,400000.0,532000.0,466000.0
Townhouse,Central,Qormi,2.0,Finished,2,1.5,,,350000.0,580000.0,465000.0
Townhouse,East,Sliema,2.0,Unclassified,4,2.0,170.0,37.5,388000.0,600000.0,465000.0
Apartment,East,Valletta,3.0,Furnished,5,2.0,,,403000.0,550000.0,465000.0
Palazzo,South,Senglea,4.0,Furnished,274,1.0,,,465000.0,465000.0,465000.0
Penthouse,North,Manikata,1.0,Furnished,2,1.0,80.0,40.0,449000.0,480000.0,464500.0
Maisonette Duplex,East,Gharghur,2.0,Unclassified,2,3.0,188.5,7.0,425000.0,500000.0,462500.0
Penthouse,East,Swieqi,2.0,Furnished,8,2.0,83.0,27.5,303000.0,680000.0,462500.0
Penthouse,South,Birzebbuga,3.0,Plan,2,2.0,152.0,50.0,420000.0,500000.0,460000.0
Penthouse,South,Marsaskala,3.0,Finished,29,2.0,116.0,24.5,280000.0,765000.0,460000.0
Farmhouse,Gozo,Gozo - San Lawrenz,4.0,Shell,2,4.0,264.0,46.0,445000.0,475000.0,460000.0
Terraced House,South,Zurrieq,3.0,Finished,2,2.5,,,425000.0,495000.0,460000.0
Penthouse,North,Qawra,3.0,Furnished,7,2.0,166.0,103.0,320000.0,659000.0,460000.0
Townhouse,Central,Mosta,2.0,Furnished,5,2.0,96.0,20.0,320000.0,560000.0,460000.0
Apartment,East,Valletta,3.0,Plan,2,2.0,,,425000.0,495000.0,460000.0
Townhouse,South,Cospicua,3.0,Finished,5,2.0,180.0,60.0,280000.0,530000.0,460000.0
Penthouse,South,Marsaxlokk,3.0,Unclassified,12,2.0,138.0,41.0,380000.0,550000.0,458000.0
Terraced House,Central,Hamrun,3.0,Furnished,3,2.0,163.5,25.0,372000.0,531500.0,458000.0
Townhouse,West,Rabat,3.0,Finished,2,2.0,,,330000.0,585000.0,457500.0
House of Character,North,Mellieha,3.0,Furnished,2,3.0,,,380000.0,535000.0,457500.0
Penthouse,West,Zebbug,3.0,Furnished,3,2.0,,,456000.0,574000.0,457000.0
House of Character,Central,Birkirkara,3.0,Furnished,9,2.0,150.0,73.0,250000.0,499000.0,457000.0
Apartment,South,Fgura,4.0,Finished,2,2.5,189.0,37.0,330000.0,582000.0,456000.0
Terraced House,Gozo,Gozo - Gharb,4.0,Shell,2,5.0,381.0,157.5,446000.0,466000.0,456000.0
Apartment,North,Xemxija,3.0,Furnished,7,2.0,157.5,15.0,270000.0,595000.0,455000.0
Penthouse,East,Saint Julian's,2.0,Unclassified,4,2.5,106.75,62.0,350000.0,600000.0,455000.0
Townhouse,South,Zejtun,3.0,Finished,2,1.0,,,320000.0,585000.0,452500.0
Penthouse,Central,Naxxar,2.0,Plan,4,2.0,75.0,48.0,295000.0,583000.0,452500.0
Townhouse,North,Mellieha,3.0,Furnished,2,2.0,,,319000.0,585000.0,452000.0
Penthouse,South,Zurrieq,3.0,Plan,2,2.0,127.0,30.0,385000.0,515000.0,450000.0
Maisonette Duplex,Central,Balzan,4.0,Unclassified,2,2.0,157.0,16.0,450000.0,450000.0,450000.0
Townhouse,South,Luqa,4.0,Furnished,3,3.0,145.0,36.0,380000.0,596000.0,450000.0
Apartment,East,Sliema,1.0,Furnished,289,1.0,65.0,12.0,200000.0,510000.0,450000.0
Apartment,East,Valletta,1.0,Furnished,9,2.0,45.0,5.0,255000.0,500000.0,450000.0
House of Character,Central,Balzan,3.0,Unclassified,2,1.5,117.0,12.0,375000.0,525000.0,450000.0
Apartment,East,Sliema,4.0,Finished,5,2.0,,,395000.0,495000.0,450000.0
House of Character,Central,Balzan,2.0,Unclassified,2,1.5,72.0,7.5,375000.0,525000.0,450000.0
House of Character,Central,Naxxar,2.0,Furnished,3,3.0,110.0,27.5,380000.0,450000.0,450000.0
Penthouse,Central,Naxxar,2.0,Furnished,4,2.0,0.0,80.0,370000.0,590000.0,450000.0
Penthouse,East,Gharghur,2.0,Plan,9,2.0,81.5,72.0,390000.0,790000.0,450000.0
Penthouse,Central,Mosta,3.0,Finished,39,2.0,127.0,61.0,350000.0,745000.0,450000.0
Penthouse,West,Zebbug,3.0,Finished,10,2.0,111.0,42.0,297000.0,575000.0,449000.0
Penthouse Duplex,East,Bahar Ic-Caghaq,2.0,Unclassified,2,2.0,115.0,25.0,365000.0,531500.0,448250.0
Townhouse,Central,Naxxar,3.0,Unclassified,6,2.0,125.0,14.0,395000.0,860500.0,447500.0
Penthouse,East,Swieqi,2.0,Plan,4,2.0,100.0,25.0,385000.0,650000.0,447000.0
Penthouse,West,Dingli,3.0,Finished,7,2.0,108.0,29.5,365000.0,688000.0,447000.0
Penthouse,Central,Iklin,3.0,Finished,7,2.0,117.0,48.0,425000.0,669500.0,447000.0
Penthouse,Central,Qormi,3.0,Shell,5,2.0,88.5,108.0,346000.0,532000.0,446500.0
