Type,Province,Town,Bedrooms,Stage,Reference_count,Bathrooms_median,IntArea_median,ExtArea_median,Price_min,Price_max,Price_median
Farmhouse,West,Zebbug,3.0,Furnished,4,2.0,200.0,7800.0,1375000.0,1700000.0,1650000.0
Plot,East,Swieqi,3.0,Unclassified,2,,,,1650000.0,1650000.0,1650000.0
Villa Semi-Detached,North,Mellieha,3.0,Finished,4,3.0,,,1595000.0,2126000.0,1642500.0
Farmhouse,South,Birzebbuga,3.0,Furnished,2,2.0,,,890000.0,2300000.0,1595000.0
Farmhouse,Gozo,Gozo - Gharb,5.0,Furnished,2,3.0,422.5,583.5,920000.0,2200000.0,1560000.0
Villa,Central,Attard,3.0,Furnished,2,2.5,180.0,230.0,1270000.0,1850000.0,1560000.0
Villa Semi-Detached,North,Mellieha,3.0,Plan,2,,,,1300000.0,1800000.0,1550000.0
Block of Apartment,East,Saint Julian's,2.0,Unclassified,2,1.0,,,1400000.0,1600000.0,1500000.0
Villa Semi-Detached,East,Msida,6.0,Unclassified,2,5.5,,,1495000.0,1500000.0,1497500.0
Farmhouse,South,Zabbar,3.0,Furnished,3,3.0,600.0,2400.0,1200000.0,1600000.0,1495000.0
Villa,East,Kappara,5.0,Furnished,2,4.0,332.0,450.0,1050000.0,1850000.0,1450000.0
Villa Semi-Detached,East,Swieqi,4.0,Unclassified,3,3.0,335.0,285.0,1400000.0,2000000.0,1400000.0
Villa Semi-Detached,East,Swieqi,4.0,Finished,2,3.0,,,1400000.0,1400000.0,1400000.0
Villa,Central,Lija,4.0,Furnished,3,3.0,272.0,256.0,1290000.0,1400000.0,1390000.0
Farmhouse,West,Siggiewi,3.0,Unclassified,3,2.0,300.0,147.5,1380000.0,2200000.0,1390000.0
Penthouse Duplex,East,Sliema,4.0,Finished,2,2.5,,,1380000.0,1380000.0,1380000.0
Villa,East,Saint Julian's,3.0,Unclassified,2,2.0,,,900000.0,1800000.0,1350000.0
Palazzo,South,Senglea,5.0,Unclassified,2,1.0,200.0,12.0,1350000.0,1350000.0,1350000.0
Villa Semi-Detached,North,Xemxija,4.0,Finished,2,3.0,,,1060000.0,1600000.0,1330000.0
Villa Semi-Detached,East,Kappara,3.0,Furnished,2,2.0,130.0,210.0,1150000.0,1500000.0,1325000.0
Villa Semi-Detached,South,Tarxien,3.0,Furnished,2,2.5,170.0,150.0,1200000.0,1438000.0,1319000.0
Palazzo,South,Birgu,4.0,Furnished,3,2.0,150.0,26.5,1200000.0,1800000.0,1300000.0
Villa,Central,Lija,4.0,Unclassified,2,2.0,248.0,184.0,1275000.0,1290000.0,1282500.0
Villa Semi-Detached,East,Swieqi,4.0,Furnished,3,3.0,184.0,241.0,1275000.0,1275000.0,1275000.0
Villa Semi-Detached,East,Kappara,3.0,Unclassified,4,3.5,,,1195000.0,1300000.0,1272500.0
