Is_Sale,Source,Reference,Town,Type,Latitude,Longitude,Rooms,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,Sara Grech,W-01GXP6,Sliema,Apartment,,,,3,2,3,,,3000
False,Sara Grech,W-01FXQX,Sliema,Penthouse,,,,2,1,2,,,1500
False,Sara Grech,W-023YFD,Msida,Apartment,,,,2,2,2,,,1300
False,Sara Grech,W-0281DD,Sliema,Townhouse,,,,2,2,2,,,1300
False,Sara Grech,W-01DTV7,St.Julians,Penthouse,,,,3,2,3,,,1500
False,Sara Grech,W-01DU23,St.Julians,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-02ES6S,Swieqi,Apartment,,,,2,2,2,,,1100
False,Sara Grech,W-01DVKN,G'Mangia,Apartment,,,,3,2,3,,,1700
False,Sara Grech,W-01DQXL,Sliema,Apartment,,,,3,2,3,,,1400
False,Sara Grech,W-021CLX,St.Julians,Apartment,,,,2,2,2,,,1500
False,Sara Grech,W-02AWV6,Sliema,Apartment,,,,2,2,2,,,1600
False,Sara Grech,W-029382,St.Julians,Apartment,,,,2,2,2,,,1600
False,Sara Grech,W-01DDK9,Sliema,Apartment,,,,3,2,3,,,1400
False,Sara Grech,W-01DDK5,Sliema,Apartment,,,,3,2,3,,,1500
False,Sara Grech,W-01DDKD,Sliema,Apartment,,,,3,2,3,,,1700
False,Sara Grech,W-01DDGZ,Sliema,Apartment,,,,3,2,3,,,1550
False,Sara Grech,W-02ENNK,Sliema,Apartment,,,,3,2,3,,,2750
False,Sara Grech,W-02JYDW,Sliema,Apartment,,,,2,2,2,,,2200
False,Sara Grech,W-01G7RI,Sliema,Apartment,,,,4,2,4,,,1500
False,Sara Grech,W-02J5KM,Swieqi,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-01DOYM,St.Julians,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-01DP2K,Swieqi,Apartment,,,,2,2,2,,,1000
False,Sara Grech,W-02KXBJ,Swieqi,Maisonette,,,,2,1,2,,,1200
False,Sara Grech,W-01DS0U,Sliema,Penthouse,,,,2,1,2,,,1100
False,Sara Grech,W-02FUE7,Sliema,Apartment,,,,2,2,2,,,1200
False,Sara Grech,W-01DSZO,Sliema,Apartment,,,,2,2,2,,,1200
False,Sara Grech,W-0206QO,St.Julians,Apartment,,,,2,2,2,,,1000
False,Sara Grech,W-02LOP4,Lija,Townhouse,,,,2,2,2,,,1600
False,Sara Grech,W-02IP73,Gzira,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02IMX9,Gzira,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02IP75,Gzira,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02IMXS,Gzira,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-024Q68,Floriana,Apartment,,,,2,2,2,,,1400
False,Sara Grech,W-02GYB8,Msida,Apartment,,,,2,2,2,,,1500
False,Sara Grech,W-02I845,Gzira,Apartment,,,,2,2,2,,,1300
False,Sara Grech,W-01VEHO,St.Julians,Apartment,,,,2,2,2,,,1000
False,Sara Grech,W-01DOW1,Sliema,Apartment,,,,3,3,3,,,1500
False,Sara Grech,W-02GBVU,Rabat,House of Character,,,,2,2,2,,,1750
False,Sara Grech,W-023FC0,St.Julians,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-02I2MN,Sliema,Apartment,,,,2,2,2,,,1600
False,Sara Grech,W-02I39Z,Sliema,Apartment,,,,3,1,3,,,1350
False,Sara Grech,W-0291QW,Luqa,Apartment,,,,3,2,3,,,1050
False,Sara Grech,W-023PNN,Ta' Xbiex,Apartment,,,,3,3,3,,,3150
False,Sara Grech,W-028WRM,Msida,Apartment,,,,3,2,3,,,1250
False,Sara Grech,W-01DOUL,Paceville,Apartment,,,,2,3,2,,,2700
False,Sara Grech,W-01DWDA,Mosta,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02I58A,Mosta,Apartment,,,,3,2,3,,,1100
False,Sara Grech,W-02DPH8,St.Julians,Apartment,,,,2,2,2,,,1700
False,Sara Grech,W-01DTO1,San Gwann,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-02JC6B,Ibrag,Penthouse,,,,2,2,2,,,1200
False,Sara Grech,W-02833R,San Gwann,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-02LFNT,St.Julians,Penthouse,,,,3,2,3,,,1500
False,Sara Grech,W-02JGDJ,St.Julians,Apartment,,,,3,2,3,,,1800
False,Sara Grech,W-02JGDN,St.Julians,Apartment,,,,3,2,3,,,1800
False,Sara Grech,W-02BCAI,St.Julians,Apartment,,,,3,2,3,,,1800
False,Sara Grech,W-02BP68,St.Julians,Apartment,,,,3,2,3,,,1750
False,Sara Grech,W-02HAAX,Sliema,Apartment,,,,3,2,3,,,2000
False,Sara Grech,W-01DM5R,Sliema,Apartment,,,,3,2,3,,,2000
False,Sara Grech,W-02FXE8,St.Julians,Maisonette,,,,3,2,3,,,2000
False,Sara Grech,W-01DML7,Sliema,Apartment,,,,3,2,3,,,1800
False,Sara Grech,W-02BQBS,Sliema,Apartment,,,,3,2,3,,,1500
False,Sara Grech,W-02G68B,Qawra,Apartment,,,,3,2,3,,,1100
False,Sara Grech,W-01DQR0,Sliema,Apartment,,,,3,2,3,,,1600
False,Sara Grech,W-02GHSU,St.Julians,Apartment,,,,3,2,3,,,1650
False,Sara Grech,W-01DT16,Ta' Xbiex,Apartment,,,,3,2,3,,,2500
False,Sara Grech,W-02M2CV,Sliema,Apartment,,,,2,1,2,,,1000
False,Sara Grech,W-02IDQ9,Ta' Xbiex,Apartment,,,,3,2,3,,,2600
False,Sara Grech,W-02IDQ3,Ta' Xbiex,Apartment,,,,3,2,3,,,2400
False,Sara Grech,W-024R6X,Sliema,Penthouse,,,,2,1,2,,,1200
False,Sara Grech,W-02N4SE,Swieqi,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-02DGRY,Swatar,Apartment,,,,3,2,3,,,1400
False,Sara Grech,W-01DQ9W,Swatar,Penthouse,,,,2,2,2,,,1000
False,Sara Grech,W-02E352,Swatar,Penthouse,,,,2,2,2,,,1100
False,Sara Grech,W-02EOFK,Sliema,Apartment,,,,3,2,3,,,1400
False,Sara Grech,W-028JZH,Attard,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-01DO2Z,Burmarrad,House of Character,,,,3,2,190,,,2350
False,Sara Grech,W-02G883,Ta' Xbiex,Apartment,,,,3,2,3,,,1700
False,Sara Grech,W-02DU41,St.Pauls Bay,Apartment,,,,1,1,1,,,1000
False,Sara Grech,W-02CGQ3,St.Julians,Apartment,,,,3,2,3,,,1200
False,Sara Grech,W-028MZB,Msida,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-02KRMX,Sliema,Apartment,,,,3,2,3,,,3500
False,Sara Grech,W-01DQ39,Sliema,Apartment,,,,4,4,4,,,3500
False,Sara Grech,W-01HJDT,St.Julians,Apartment,,,,3,2,3,,,1500
False,Sara Grech,W-02JFWT,Sliema,Townhouse,,,,5,3,5,,,2500
False,Sara Grech,W-020ER5,Sliema,Apartment,,,,3,2,3,,,1300
False,Sara Grech,W-01DRIO,Sliema,Apartment,,,,3,2,3,,,1000
False,Sara Grech,W-01EB6O,Gzira,Maisonette,,,,3,3,3,,,1000
False,Sara Grech,W-0231L2,Sliema,Apartment,,,,3,3,3,,,2000
False,Sara Grech,W-02JII0,St.Julians,Apartment,,,,4,5,4,,,4200
False,Sara Grech,W-01DLJD,Sliema,Apartment,,,,3,2,3,,,1600
False,Sara Grech,W-02FVE5,Sliema,Apartment,,,,3,2,3,,,2000
