Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,Ben Estate,BLAPT119781,Mellieha,Apartment,Unclassified,3,2,95.00,90.00,5.00,950
False,Ben Estate,BLPTH119753,Naxxar,Penthouse,Unclassified,3,2,165.00,140.00,25.00,1425
False,Ben Estate,BLMSN119739,Valletta,Maisonette,Unclassified,1,1,65.00,60.00,5.00,600
False,Ben Estate,BLAPT119737,Valletta,Apartment,Unclassified,1,3,125.00,120.00,5.00,1700
False,Ben Estate,BLAPT119715,Qajjenza,Apartment,Unclassified,2,1,,,,650
False,Ben Estate,BLDPM119713,Zurrieq,Duplex Maisonette,Unclassified,2,3,1.00,1.00,1.00,750
False,Ben Estate,BLEGFM119691,Gharghur,Elevated Ground Floor Maisonette,Unclassified,2,2,1.00,1.00,1.00,1000
False,Ben Estate,BLAPT119687,Zabbar,Apartment,Unclassified,3,2,1.00,1.00,1.00,900
False,Ben Estate,BLAPT119657,Swieqi,Apartment,Unclassified,2,2,1.00,1.00,1.00,1100
False,Ben Estate,BLGFM119655,Marsascala,Ground Floor Maisonette,Unclassified,2,1,1.00,1.00,1.00,750
False,Ben Estate,BLAPT119653,Marsascala,Apartment,Unclassified,2,1,,,,850
False,Ben Estate,BLMSN119647,Marsa,Maisonette,Unclassified,2,2,,,,700
False,Ben Estate,BLFFM119641,Mellieha,First Floor Maisonette,Unclassified,1,1,1.00,1.00,1.00,700
False,Ben Estate,BLAPT119637,Sliema,Apartment,Unclassified,2,1,1.00,,,1350
False,Ben Estate,BLAPT119635,Sliema,Apartment,Unclassified,2,1,1.00,,,1350
False,Ben Estate,BSAPT119633,Attard,Apartment,Unclassified,3,4,260.00,220.00,40.00,510000
False,Ben Estate,BLAPT119631,San Gwann,Apartment,Unclassified,2,2,1.00,1.00,1.00,800
False,Ben Estate,BLTWC119629,Rabat,Town House,Unclassified,2,2,1.00,1.00,1.00,650
False,Ben Estate,BLC4C119627,St. Julians,Commercial Class 4,Unclassified,,1,1.00,1.00,1.00,7500
False,Ben Estate,BLPTH119625,Naxxar,Penthouse,Unclassified,2,2,1.00,1.00,1.00,1000
False,Ben Estate,BLAPT119623,Gzira,Apartment,Unclassified,1,1,,,,700
