Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
True,Belair,307334,Birkirkara,Townhouse,Unclassified,3,2,115,,,225000
True,Belair,503009,Ghaxaq,Apartment,Finished,3,2,160,,,240000
True,Belair,505081,Mosta,Penthouse,Finished,1,1,87,,,239000
True,Belair,504040,Gwardamangia,Apartment,Furnished,3,2,100,,,235000
True,Belair,505384,San Gwann,Apartment,Unclassified,3,2,141,,,230000
True,Belair,307334,Birkirkara,Townhouse,Unclassified,3,2,115,,,225000
True,Belair,503009,Ghaxaq,Apartment,Finished,3,2,160,,,240000
True,Belair,701588,Sliema,Apartment,Plan,3,2,124,,,390000
True,Belair,137597,Balzan,First Floor (+) Maisonette,Finished,3,2,140,,,390000
True,Belair,701867,Naxxar,Terraced House,Unclassified,3,1,55,,,393000
True,Belair,307937,Mosta,Penthouse,Unclassified,3,2,136,,,409000
True,Belair,306857,Swieqi,Penthouse,Furnished,2,2,161,,,410000
True,Belair,307586,Pembroke,Apartment,Finished,3,3,120,,,415000
True,Belair,701619,Balzan,Apartment,Shell,3,2,174,,,420000
True,Belair,137707,San Gwann,Penthouse,Unclassified,3,2,147,,,420000
True,Belair,503745,Zebbug,Penthouse,Finished,2,3,155,,,425000
True,Belair,307929,Mosta,First Floor (+) Maisonette,Unclassified,3,2,250,,,425000
True,Belair,504470,Mellieha,Apartment Block,Shell,2,1,97,,,425000
True,Belair,137382,Mosta,Ground Floor Maisonette,Unclassified,3,3,200,,,425000
True,Belair,701680,"Madliena, Madliena Village",Apartment,Furnished,2,1,99,,,425000
True,Belair,701620,Balzan,Apartment,Shell,3,2,174,,,430000
True,Belair,304656,Sliema,Apartment,Furnished,3,2,135,,,430000
True,Belair,304655,Sliema,Apartment,Finished,3,2,135,,,430000
True,Belair,700580,San Gwann,Apartment,Furnished,3,2,157,,,445000
True,Belair,801187,Naxxar,Townhouse,Unclassified,3,2,100,,,445000
True,Belair,505111,Manikata,Penthouse,Furnished,1,1,120,,,449000
True,Belair,702015,Sliema,Apartment,Unclassified,3,2,170,,,450000
True,Belair,304884,Gzira,Penthouse,Finished,2,2,148,,,450000
True,Belair,307587,Pembroke,Apartment,Finished,3,3,120,,,450000
True,Belair,307644,Naxxar,Penthouse,Finished,3,2,180,,,450000
True,Belair,136058,Zabbar,Penthouse,Furnished,2,2,270,,,455000
True,Belair,304213,Zebbug,Penthouse,Furnished,3,2,138,,,456000
True,Belair,800107,St Julians,Elevated Ground Floor Maisonette,Unclassified,3,2,133,,,459000
True,Belair,306536,St Julians,Apartment,Unclassified,3,3,175,,,465000
True,Belair,504068,San Gwann,Penthouse,Finished,2,3,167,,,465000
True,Belair,306750,Attard,Penthouse,Plan,3,2,152,,,476000
True,Belair,505146,Gharghur,Apartment,Finished,3,2,108,,,477000
True,Belair,802062,Sliema,Apartment,Furnished,2,1,83,,,485000
True,Belair,505287,"St Julians, Mercury House",Apartment,Finished,1,1,71,,,485000
True,Belair,306174,Mellieha,Terraced House,Finished,2,2,75,,,490000
True,Belair,505062,Sliema,Penthouse,Furnished,2,1,130,,,490000
True,Belair,700706,Gharghur,Duplex Maisonette,Unclassified,3,3,172,,,490000
True,Belair,504597,Sliema,Apartment,Unclassified,3,2,117,,,495000
True,Belair,504080,Valletta,Apartment,Plan,3,2,114,,,495000
True,Belair,504450,Pembroke,Apartment,Plan,3,2,177,,,495000
True,Belair,306914,St Julians,Apartment,Finished,3,3,186,,,495000
True,Belair,137459,Mosta,Ground Floor Maisonette,Furnished,3,2,204,,,497500
True,Belair,802305,Mellieha,Apartment,Finished,2,1,99,,,498000
True,Belair,307928,Birkirkara,House of Character,Furnished,3,2,129,,,498000
