Is_Sale,Source,Reference,Town,Type,Stage,Bedrooms,Bathrooms,TotalSqm,IntArea,ExtArea,Price
False,QuickLets,72638,Gozo Ghajnsielem,Penthouses,Furnished,2,2,,,,1200
False,QuickLets,72635,Qormi,Rooms,Furnished,1,1,,,,560
False,QuickLets,72630,Gozo Qala,Apartments,Furnished,2,2,,,,750
False,QuickLets,72628,Gozo Nadur,Apartments,Furnished,3,2,,,,800
False,QuickLets,72626,San Gwann,Penthouses,Furnished,3,2,,,,1600
False,QuickLets,72625,Sliema,Apartments,Furnished,2,1,,,,1400
False,QuickLets,72622,Sliema,Apartments,Furnished,2,2,,,,1800
False,QuickLets,72618,Sliema,Rooms,Furnished,1,1,,,,675
False,QuickLets,72614,Swieqi,Maisonettes,Furnished,3,3,,,,2700
False,QuickLets,72613,Fgura,Rooms,Furnished,1,,,,,600
False,QuickLets,72612,Fgura,Rooms,Furnished,1,,,,,600
False,QuickLets,72610,Fgura,Rooms,Furnished,1,,,,,400
False,QuickLets,72606,Manikata,Penthouses,Furnished,1,2,,,,1500
False,QuickLets,72605,Marsaskala,Apartments,Furnished,3,2,,,,1500
False,QuickLets,72603,Swieqi,Apartments,Furnished,3,2,,,,1500
False,QuickLets,72598,Gzira,Apartments,Furnished,1,1,,,,1100
False,QuickLets,72574,Mosta,Penthouses,Furnished,3,2,,,,3000
False,QuickLets,72568,Gzira,Apartments,Furnished,1,1,,,,1350
False,QuickLets,72566,Swieqi,Maisonettes,Furnished,3,2,,,,1500
False,QuickLets,72546,Sliema,Apartments,Furnished,1,1,,,,1600
False,QuickLets,72543,Gozo Fontana,Apartments,Furnished,2,2,,,,600
False,QuickLets,72535,GOZO Marsalforn,Apartments,Furnished,1,1,,,,600
False,QuickLets,72534,Gozo Gharb,Apartments,Furnished,3,2,,,,800
False,QuickLets,72531,Mellieha,Maisonettes,Furnished,3,2,,,,1000
False,QuickLets,72529,Mellieha,Penthouses,Furnished,1,2,,,,1800
False,QuickLets,72524,Sliema,Apartments,Furnished,2,2,,,,1500
False,QuickLets,72522,Mosta,House of Character,Furnished,4,3,,,,2300
False,QuickLets,72514,San Gwann,Rooms,Furnished,1,1,,,,600
False,QuickLets,72504,Gozo Xewkija,Studio Apartments,Furnished,1,,,,,700
False,QuickLets,72502,Gozo Nadur,Penthouses,Furnished,3,2,,,,1300
False,QuickLets,72495,Mgarr,Maisonettes,Furnished,2,1,,,,900
False,QuickLets,72493,Sliema,Apartments,Furnished,3,2,,,,2000
False,QuickLets,72492,Sliema,Maisonettes,Furnished,2,2,,,,1500
False,QuickLets,72491,Gozo Nadur,Apartments,Furnished,2,2,,,,700
False,QuickLets,72483,Zurrieq,Maisonettes,Furnished,2,2,,,,1100
False,QuickLets,72462,Sliema,Apartments,Furnished,3,2,,,,1700
False,QuickLets,72461,Sliema,Apartments,Furnished,3,2,,,,1500
False,QuickLets,72460,Tigne,Apartments,Furnished,3,2,,,,3500
False,QuickLets,72459,Gozo Gharb,House of Character,Furnished,3,3,,,,1000
False,QuickLets,72452,Rabat,Maisonettes,Furnished,3,2,,,,1500
False,QuickLets,72443,Santa Venera,Maisonettes,Furnished,2,2,,,,1200
False,QuickLets,72420,Bahar ic-Caghaq,Apartments,Furnished,3,2,,,,2000
False,QuickLets,72415,Zebbug,Penthouses,Furnished,3,4,,,,2000
False,QuickLets,72412,Gharghur,Rooms,Furnished,1,1,,,,550
False,QuickLets,72409,Msida,Penthouses,Furnished,2,2,,,,1600
False,QuickLets,72402,Qawra,Maisonettes,Furnished,2,1,,,,1200
False,QuickLets,72394,St. Paul's Bay,Apartments,Furnished,3,2,,,,1400
False,QuickLets,72387,Gudja,Maisonettes,Furnished,3,2,,,,1000
False,QuickLets,72384,Gudja,Apartments,Furnished,1,1,,,,750
False,QuickLets,72380,Gudja,Apartments,Furnished,1,1,,,,750
False,QuickLets,72379,Bahar ic-Caghaq,Maisonettes,Furnished,1,2,,,,1700
False,QuickLets,72378,Bahar ic-Caghaq,Apartments,Furnished,2,2,,,,1700
False,QuickLets,72377,Bahar ic-Caghaq,Apartments,Furnished,2,2,,,,1700
False,QuickLets,72372,Floriana,Apartments,Furnished,2,1,,,,900
False,QuickLets,72368,St. Julians,Apartments,Furnished,3,2,,,,1600
False,QuickLets,72361,Burmarrad,Terraced Houses,Furnished,3,2,220,,,1550
False,QuickLets,72352,Floriana,Penthouses,Furnished,3,2,,,,3000
False,QuickLets,72346,St. Paul's Bay,Apartments,Furnished,2,2,,,,1400
False,QuickLets,72345,Sliema,Apartments,Furnished,3,3,150,,,2000
False,QuickLets,72343,St. Paul's Bay,Apartments,Furnished,2,2,,,,1600
False,QuickLets,72332,Ta' Xbiex,Apartments,Furnished,3,2,150,,,2600
False,QuickLets,72328,Sliema,Maisonettes,Furnished,2,2,,,,2300
False,QuickLets,72315,Pieta,Penthouses,Furnished,3,2,,,,1540
False,QuickLets,72307,Luqa,Rooms,Furnished,1,1,,,,500
False,QuickLets,72306,Luqa,Rooms,Furnished,1,1,,,,500
False,QuickLets,72305,Birzebbuga,Apartments,Furnished,2,2,,,,1000
False,QuickLets,72299,Tigne,Apartments,Furnished,2,3,,,,2800
False,QuickLets,72260,Iklin,Apartments,Furnished,3,2,,,,1300
False,QuickLets,72258,Sliema,Apartments,Furnished,3,2,,,,1700
False,QuickLets,72256,Sliema,Apartments,Furnished,3,3,,,,2500
False,QuickLets,72254,Tigne,Apartments,Furnished,2,2,125,,,2400
False,QuickLets,72253,Qormi,Rooms,Furnished,1,1,,,,550
False,QuickLets,72252,Qormi,Rooms,Furnished,1,1,,,,500
False,QuickLets,72251,Qormi,Rooms,Furnished,1,1,,,,500
False,QuickLets,72250,Qormi,Rooms,Furnished,1,1,,,,550
False,QuickLets,72249,St. Paul's Bay,Maisonettes,Furnished,2,2,,,,1600
False,QuickLets,72240,Balzan,Maisonettes,Furnished,3,2,,,,1550
False,QuickLets,72232,Swieqi,Penthouses,Furnished,3,3,,,,2900
False,QuickLets,72231,Sliema,Apartments,Furnished,2,2,,,,1500
False,QuickLets,72227,Sliema,Apartments,Furnished,3,3,,,,1500
False,QuickLets,72222,Birkirkara,Maisonettes,Furnished,2,2,,,,1100
False,QuickLets,72210,Ta' l-ibragg,Maisonettes,Furnished,3,2,,,,1500
False,QuickLets,72208,Balzan,Townhouses,Furnished,3,2,,,,1900
False,QuickLets,72207,Ta' Xbiex,Apartments,Furnished,3,2,150,,,1700
False,QuickLets,72206,Swieqi,Apartments,Furnished,2,2,,,,1600
False,QuickLets,72203,St. Julians,Apartments,Furnished,3,2,,,,2500
False,QuickLets,72202,St. Paul's Bay,Apartments,Furnished,3,3,,,,1450
False,QuickLets,72196,GOZO Marsalforn,Apartments,Furnished,3,2,,,,1100
False,QuickLets,72191,Dingli,Terraced Houses,Furnished,3,2,,,,1600
False,QuickLets,72186,St. Paul's Bay,Maisonettes,Furnished,2,2,,,,900
False,QuickLets,72177,Paola,Maisonettes,Furnished,2,1,,,,950
False,QuickLets,72176,Attard,Semi Detached Villa,Furnished,4,2,,,,5700
False,QuickLets,72173,Gozo Fontana,Apartments,Furnished,3,2,,,,900
False,QuickLets,72168,Sliema,Apartments,Furnished,3,2,,,,1600
False,QuickLets,72162,Sliema,Apartments,Furnished,1,1,,,,1350
False,QuickLets,72160,GOZO Marsalforn,Apartments,Furnished,2,1,,,,650
False,QuickLets,72159,GOZO Marsalforn,Apartments,Furnished,2,1,,,,550
False,QuickLets,72153,St. Julians,Apartments,Furnished,2,2,130,,,2500
False,QuickLets,72152,Balzan,Apartments,Furnished,3,2,115,,,1500
False,QuickLets,72147,St. Julians,Apartments,Furnished,2,2,,,,2900
False,QuickLets,72146,Sliema,Apartments,Furnished,3,2,,,,2000
False,QuickLets,72145,Msida,Apartments,Furnished,2,1,,,,1300
False,QuickLets,72111,Sliema,Apartments,Furnished,2,2,,,,1900
False,QuickLets,72102,St. Julians,Rooms,Furnished,1,1,,,,550
False,QuickLets,72101,St. Julians,Rooms,Furnished,1,1,,,,550
False,QuickLets,72100,Ta' Xbiex,Rooms,Furnished,1,1,,,,400
False,QuickLets,72093,Qawra,Apartments,Furnished,3,2,,,,1000
False,QuickLets,72092,Ghaxaq,Penthouses,Furnished,2,1,,,,800
False,QuickLets,72084,Qawra,Penthouses,Furnished,2,2,,,,1000
